Metodo,Acuracia
GaussianNB,0.904320987654321
BernoulliNB,0.9290123456790124
KNeighborsClassifier(2),0.8395061728395061
KNeighborsClassifier(3),0.8209876543209876
KNeighborsClassifier(5),0.8024691358024691
KNeighborsClassifier(8),0.8240740740740741
DecisionTreeClassifier(),0.8487654320987654
RandomForestClassifier(3_estimators),0.7870370370370371
RandomForestClassifier(5_estimators),0.8425925925925926
RandomForestClassifier,0.8950617283950617
SVM,0.20987654320987653
MLPClassifier,0.9506172839506173
rand1,0.11728395061728394
rand2,0.13271604938271606
rand3,0.15123456790123457
majoritario,0.1111111111111111
minoritario,0.1111111111111111
pessimo,0.0
otimo,1.0
