,Discriminacao,Dificuldade,Adivinhacao
V1,5.470,-0.425,0.192
V2,4.301,-1.513,0.172
V3,2.673,-0.896,0.202
V4,2.720,-2.433,0.053
V5,5.813,-0.995,0.101
V6,5.813,-0.995,0.101
V7,-0.456,-7.618,0.006
V8,7.916,-0.016,0.194
V9,1.470,-1.258,0.088
V10,7.095,0.303,0.214
V11,5.807,-0.282,0.100
V12,5.919,-0.290,0.014
V13,3.220,-2.209,0.058
V14,2.786,-0.931,0.015
V15,0.374,1.263,0.025
V16,5.216,-1.011,0.014
V17,7.661,0.620,0.338
V18,5.065,-1.001,0.199
V19,5.813,-0.995,0.101
V20,5.211,-0.464,0.100
V21,4.591,-1.071,0.422
V22,5.721,-0.988,0.101
V23,5.468,-0.990,0.195
V24,6.496,-1.017,0.100
V25,4.683,-2.225,0.021
V26,3.799,-1.301,0.537
V27,6.495,-1.017,0.100
V28,5.244,-2.214,0.020
V29,5.874,-1.842,0.021
V30,5.216,-1.011,0.014
V31,5.217,-1.011,0.014
V32,-0.306,-8.059,0.005
V33,-0.149,-16.865,0.095
V34,7.865,-0.016,0.194
V35,2.709,-2.440,0.053
V36,2.115,-1.448,0.097
V37,5.066,-1.001,0.199
V38,5.244,-2.214,0.020
V39,4.591,-1.071,0.422
V40,5.293,-1.008,0.196
V41,4.537,-1.179,0.298
V42,5.217,-1.011,0.014
V43,5.998,-1.013,0.101
V44,3.613,-1.885,0.178
V45,5.066,-1.000,0.199
V46,5.143,-0.997,0.291
V47,4.976,-2.427,0.022
V48,-0.072,-75.289,0.026
V49,5.870,-1.850,0.019
V50,-0.233,-14.755,0.020
V51,5.621,-1.688,0.162
V52,7.769,0.497,0.207
V53,3.056,-2.971,0.047
V54,3.400,-0.323,0.014
V55,4.599,-0.465,0.306
V56,6.377,-0.173,0.101
V57,3.797,-1.302,0.537
V58,2.703,-2.443,0.053
V59,8.616,0.018,0.014
V60,5.932,-0.940,0.194
V61,1.649,5.660,0.501
V62,4.132,-0.061,0.101
V63,5.217,-1.011,0.014
V64,5.819,-0.959,0.194
V65,2.496,-2.239,0.047
V66,-0.224,-6.910,0.029
V67,3.075,-0.494,0.014
V68,7.261,-0.094,0.100
V69,2.737,-0.915,0.102
V70,5.321,-0.472,0.014
V71,6.758,-0.140,0.194
V72,6.499,-0.953,0.193
V73,4.976,-2.427,0.022
V74,5.067,-1.000,0.199
V75,5.874,-1.842,0.021
V76,5.870,-1.850,0.019
V77,1.010,-1.274,0.087
V78,1.273,-0.928,0.132
V79,2.857,2.592,0.059
V80,4.332,0.541,0.216
V81,6.506,-0.170,0.100
V82,3.004,-2.392,0.035
V83,5.274,-0.435,0.194
V84,5.168,-1.006,0.102
V85,4.469,-2.014,0.022
V86,-3.124,-2.915,0.126
V87,4.608,0.196,0.107
V88,5.360,-0.428,0.194
V89,5.217,-1.011,0.014
V90,8.764,0.062,0.286
V91,4.640,-1.029,0.444
V92,5.135,-2.029,0.020
V93,4.357,-1.158,0.293
V94,5.212,-0.994,0.290
V95,4.539,-1.179,0.298
V96,5.244,-2.214,0.021
V97,5.124,0.102,0.014
V98,0.704,-0.081,0.024
V99,4.357,-1.158,0.293
V100,4.112,-2.003,0.022
V101,2.569,-2.237,0.045
V102,2.696,-2.446,0.053
V103,2.570,-2.236,0.046
V104,3.018,-2.401,0.035
V105,9.124,0.473,0.213
V106,3.004,-2.392,0.035
V107,2.571,-2.236,0.046
V108,5.001,-1.178,0.299
V109,6.495,-1.017,0.100
V110,9.176,0.088,0.014
V111,6.435,0.523,0.200
V112,5.277,-0.476,0.014
V113,5.813,-0.995,0.101
V114,1.602,-1.828,0.047
V115,4.969,-0.513,0.014
V116,3.018,-2.402,0.035
V117,1.714,-2.397,0.026
V118,3.871,-1.408,0.173
V119,1.509,-1.860,0.064
V120,4.301,-1.513,0.172
V121,5.068,-1.000,0.199
V122,4.362,-1.183,0.308
V123,5.511,-0.462,0.014
V124,5.098,-1.013,0.101
V125,6.630,-0.166,0.100
V126,2.360,-1.305,0.031
V127,5.239,-0.439,0.194
V128,5.218,-1.010,0.014
V129,5.218,-1.010,0.014
V130,5.218,-1.010,0.014
V131,5.244,-2.214,0.021
V132,8.821,0.053,0.014
V133,-0.144,-42.926,0.006
V134,3.084,-0.493,0.014
V135,3.283,-1.962,0.031
V136,-0.673,-3.735,0.011
V137,3.760,-0.161,0.101
V138,5.435,-0.236,0.311
V139,5.874,-1.842,0.021
V140,5.218,-1.010,0.014
V141,5.218,-1.010,0.014
V142,3.218,-0.147,0.102
V143,2.004,-2.731,0.074
V144,6.600,-0.184,0.014
V145,2.504,-2.240,0.046
V146,2.439,-0.224,0.014
V147,2.673,-0.896,0.202
V148,4.976,-2.427,0.022
V149,5.473,-0.983,0.195
V150,4.780,0.279,0.018
V151,6.500,-0.188,0.014
V152,8.230,0.361,0.196
