Clf,Score
KNeighborsClassifier(3),260.0964697187985
KNeighborsClassifier(5),260.0964697187985
DecisionTreeClassifier(),260.0964697187985
RandomForestClassifier(3_estimators),260.0964697187985
rand1,260.0964697187985
rand2,260.0964697187985
rand3,260.0964697187985
majoritario,260.0964697187985
minoritario,260.0964697187985
pessimo,260.0964697187985
KNeighborsClassifier(8),260.98677092500475
RandomForestClassifier(5_estimators),264.80976195816976
SVM,270.8443360575324
KNeighborsClassifier(2),273.78699034774195
RandomForestClassifier,285.13881537882367
GaussianNB,296.6948882132609
BernoulliNB,297.4339173489873
MLPClassifier,304.12289710507304
otimo,304.12289710507304
