Metodo,Acuracia
GaussianNB,0.8019323671497585
BernoulliNB,0.782608695652174
KNeighborsClassifier(2),0.5652173913043478
KNeighborsClassifier(3),0.6328502415458938
KNeighborsClassifier(5),0.6666666666666666
KNeighborsClassifier(8),0.6570048309178744
DecisionTreeClassifier(),0.7632850241545893
RandomForestClassifier(3_estimators),0.7971014492753623
RandomForestClassifier(5_estimators),0.8357487922705314
RandomForestClassifier,0.8840579710144928
SVM,0.5507246376811594
MLPClassifier,0.7632850241545893
rand1,0.5072463768115942
rand2,0.5410628019323671
rand3,0.4782608695652174
majoritario,0.5555555555555556
minoritario,0.4444444444444444
pessimo,0.0
otimo,1.0
