,Discriminacao,Dificuldade,Adivinhacao
V1,0.040,11.521,0.124
V2,-0.001,97.558,0.118
V3,1.157,2.321,0.000
V4,-2.974,-0.421,0.692
V5,-6.536,-0.881,0.437
V6,-0.166,-1.112,0.140
V7,0.242,0.067,0.098
V8,-4.537,-0.474,0.647
V9,-1.034,1.634,0.018
V10,-8.278,-1.203,0.410
V11,-2.599,1.884,0.305
V12,-1.550,1.581,0.034
V13,-2.122,1.774,0.080
V14,-1.309,2.205,0.220
V15,-9.719,-0.565,0.569
V16,-0.622,1.616,0.069
V17,-5.843,-0.854,0.352
V18,-11.526,1.058,0.392
V19,-0.799,1.875,0.027
V20,-4.339,1.528,0.618
V21,-0.325,2.735,0.098
V22,0.017,35.243,0.143
V23,-2.998,2.137,0.252
V24,-0.149,1.740,0.121
V25,-1.287,2.011,0.040
V26,-2.915,1.998,0.031
V27,-1.840,1.902,0.040
V28,0.949,3.102,0.000
V29,-2.757,1.931,0.041
V30,-0.519,2.723,0.058
V31,0.819,2.513,0.000
V32,-11.193,-0.511,0.490
V33,-5.210,2.125,0.023
V34,-6.676,2.152,0.020
V35,-0.951,1.623,0.186
V36,-6.677,2.152,0.020
V37,-1.450,1.116,0.338
V38,1.282,1.684,0.001
V39,-4.816,0.506,0.679
V40,0.228,2.224,0.126
V41,0.241,2.508,0.063
V42,-2.451,0.745,0.356
V43,-1.646,2.669,0.023
V44,-6.678,2.152,0.020
V45,2.146,1.618,0.000
V46,2.526,1.858,0.000
V47,-10.196,-0.488,0.567
V48,-2.684,1.697,0.332
V49,-0.191,1.832,0.139
V50,-0.341,2.771,0.084
V51,-6.679,2.151,0.020
V52,-5.210,2.125,0.023
V53,0.437,1.849,0.006
V54,-2.225,1.947,0.027
V55,-4.161,1.730,0.485
V56,-0.840,2.520,0.163
V57,-0.030,0.801,0.131
V58,0.240,0.627,0.129
V59,-7.464,-0.660,0.553
V60,0.062,14.458,0.143
V61,-1.000,1.813,0.264
V62,-6.679,2.151,0.020
V63,0.703,1.118,0.001
V64,-3.977,2.018,0.018
V65,-4.051,1.769,0.276
V66,-2.173,1.905,0.171
V67,-6.680,2.151,0.020
V68,2.406,1.851,0.000
V69,-1.979,1.802,0.106
V70,-0.228,4.880,0.093
V71,-6.681,2.150,0.020
V72,-0.321,5.139,0.149
V73,-5.080,1.787,0.338
V74,-1.299,1.636,0.035
V75,-2.232,1.112,0.468
V76,-2.920,-0.819,0.599
V77,0.113,13.617,0.073
V78,-1.210,2.663,0.031
V79,-8.486,-0.669,0.368
V80,-0.169,-0.199,0.134
V81,-2.282,1.914,0.048
V82,-3.766,-0.888,0.348
V83,-12.481,-0.390,0.511
V84,-1.131,1.970,0.219
V85,0.750,2.193,0.000
V86,-4.161,-1.285,0.485
V87,-1.553,2.864,0.086
V88,-1.687,1.339,0.358
V89,-1.116,0.956,0.370
V90,-0.116,3.657,0.122
V91,-0.512,3.486,0.110
V92,-8.914,-0.999,0.382
V93,-3.659,2.100,0.025
V94,-5.427,1.886,0.347
V95,0.053,8.742,0.143
V96,-1.459,2.100,0.032
V97,-4.488,-0.769,0.591
V98,-2.948,2.061,0.237
V99,-1.748,1.209,0.438
V100,-0.376,2.313,0.127
V101,-1.500,1.401,0.031
V102,-1.487,1.789,0.038
V103,-2.446,0.765,0.496
V104,-2.206,1.464,0.406
V105,-3.772,1.613,0.097
V106,-1.298,2.705,0.030
V107,-0.858,2.903,0.129
V108,-6.536,-0.377,0.634
V109,-6.682,2.150,0.020
V110,-5.267,1.770,0.347
V111,-0.386,2.034,0.130
V112,-0.231,1.651,0.141
V113,-2.349,-0.586,0.601
V114,-0.501,1.272,0.076
V115,1.254,2.550,0.148
V116,-4.145,-0.916,0.599
V117,-11.411,-0.860,0.375
V118,0.494,2.145,0.064
V119,-0.970,1.061,0.016
V120,-5.376,-1.344,0.381
V121,1.619,1.688,0.000
V122,-6.556,1.725,0.495
V123,0.290,4.603,0.025
V124,-3.154,2.018,0.021
V125,1.225,2.268,0.000
V126,-1.890,-1.624,0.368
V127,-2.615,1.767,0.119
