Clf,Score
pessimo,80.92864662512089
rand1,81.5869136115786
SVM,86.22067603173511
majoritario,86.27718645490539
rand2,86.3082596865718
rand3,87.44785741350621
minoritario,89.54831914580747
GaussianNB,101.78205338278055
BernoulliNB,101.78205338278055
KNeighborsClassifier(2),101.78205338278055
KNeighborsClassifier(3),101.78205338278055
KNeighborsClassifier(5),101.78205338278055
KNeighborsClassifier(8),101.78205338278055
DecisionTreeClassifier(),101.78205338278055
RandomForestClassifier(3_estimators),101.78205338278055
RandomForestClassifier(5_estimators),101.78205338278055
RandomForestClassifier,101.78205338278055
MLPClassifier,101.78205338278055
otimo,101.78205338278055
