Clf,Theta
GaussianNB,2.291572014589554
BernoulliNB,2.291572014589554
KNeighborsClassifier(2),2.291572014589554
KNeighborsClassifier(3),2.291572014589554
KNeighborsClassifier(5),2.291572014589554
KNeighborsClassifier(8),2.291572014589554
DecisionTreeClassifier(),2.291572014589554
RandomForestClassifier(3_estimators),2.291572014589554
RandomForestClassifier(5_estimators),2.291572014589554
RandomForestClassifier,2.291572014589554
SVM,3.5022640176228665
MLPClassifier,2.291572014589554
rand1,5.264574410081226
rand2,3.484559314587515
rand3,3.2777079146509007
majoritario,3.4908078793504385
minoritario,2.9850156952606484
pessimo,5.849703031220771
otimo,2.291572014589554
