Metodo,Acuracia
GaussianNB,0.7257142857142858
BernoulliNB,0.7100000000000001
KNeighborsClassifier(2),0.6799999999999999
KNeighborsClassifier(3),0.6528571428571428
KNeighborsClassifier(5),0.65
KNeighborsClassifier(8),0.6728571428571428
DecisionTreeClassifier(),0.687142857142857
RandomForestClassifier(3_estimators),0.6842857142857143
RandomForestClassifier(5_estimators),0.7157142857142855
RandomForestClassifier,0.7214285714285714
SVM,0.7
MLPClassifier,0.6
rand1,0.45
rand2,0.5066666666666667
rand3,0.5166666666666667
majoritario,0.7
minoritario,0.3
pessimo,0.0
otimo,1.0
