Metodo,Acuracia
GaussianNB,0.7
BernoulliNB,0.7266666666666667
KNeighborsClassifier(2),0.6466666666666666
KNeighborsClassifier(3),0.5933333333333334
KNeighborsClassifier(5),0.6266666666666667
KNeighborsClassifier(8),0.64
DecisionTreeClassifier(),0.7133333333333334
RandomForestClassifier(3_estimators),0.6933333333333334
RandomForestClassifier(5_estimators),0.71
RandomForestClassifier,0.7333333333333333
SVM,0.7
MLPClassifier,0.7033333333333334
rand1,0.45
rand2,0.5066666666666667
rand3,0.5166666666666667
majoritario,0.7
minoritario,0.3
pessimo,0.0
otimo,1.0
