Clf,Score
GaussianNB,177.3742067479442
minoritario,177.3742067479442
RandomForestClassifier(3_estimators),203.43246162308589
RandomForestClassifier(5_estimators),204.2535475127238
RandomForestClassifier,210.09827743870457
SVM,210.4314707762816
MLPClassifier,210.4314707762816
majoritario,210.4314707762816
rand3,211.13145964213317
DecisionTreeClassifier(),212.19931051137178
rand2,213.06586484827017
rand1,213.2051204085324
KNeighborsClassifier(5),213.5508354602521
BernoulliNB,213.65692476479705
KNeighborsClassifier(3),213.78112573324373
pessimo,213.8637488190746
otimo,214.38294063139844
KNeighborsClassifier(2),214.72843503498171
KNeighborsClassifier(8),214.80859362445418
