Clf,Theta
GaussianNB,-0.4092840593131356
BernoulliNB,0.9130167169372396
KNeighborsClassifier(2),1.3641250671360337
KNeighborsClassifier(3),0.9283438906324853
KNeighborsClassifier(5),0.9006000854771519
KNeighborsClassifier(8),1.322051689091229
DecisionTreeClassifier(),0.7862877814523639
RandomForestClassifier(3_estimators),0.5118363979995907
RandomForestClassifier(5_estimators),0.548289892135777
RandomForestClassifier,0.7163346879390263
SVM,7.503337653479137
MLPClassifier,7.503337653479137
rand1,0.8638610363815838
rand2,0.8505380797322776
rand3,0.7425057598670265
majoritario,7.503337653479137
minoritario,-0.4092840593131356
pessimo,0.9390697233800662
otimo,1.0209155777019316
