Metodo,Acuracia
GaussianNB,0.7012091038406828
BernoulliNB,0.6935277382645804
KNeighborsClassifier(2),0.6795163584637269
KNeighborsClassifier(3),0.7091038406827881
KNeighborsClassifier(5),0.6427453769559033
KNeighborsClassifier(8),0.6297297297297297
DecisionTreeClassifier(),0.7568990042674253
RandomForestClassifier(3_estimators),0.7328591749644382
RandomForestClassifier(5_estimators),0.7246088193456615
RandomForestClassifier,0.7460170697012801
SVM,0.5770981507823613
MLPClassifier,0.542958748221906
rand1,0.5679012345679012
rand2,0.49382716049382713
rand3,0.5308641975308642
majoritario,0.5802469135802469
minoritario,0.41975308641975306
pessimo,0.0
otimo,1.0
