Metodo,Acuracia
GaussianNB,0.7098765432098766
BernoulliNB,0.6975308641975309
KNeighborsClassifier(2),0.5925925925925926
KNeighborsClassifier(3),0.6481481481481481
KNeighborsClassifier(5),0.6604938271604939
KNeighborsClassifier(8),0.654320987654321
DecisionTreeClassifier(),0.7160493827160493
RandomForestClassifier(3_estimators),0.7345679012345679
RandomForestClassifier(5_estimators),0.6790123456790124
RandomForestClassifier,0.7654320987654321
SVM,0.5802469135802469
MLPClassifier,0.4567901234567901
rand1,0.5679012345679012
rand2,0.49382716049382713
rand3,0.5308641975308642
majoritario,0.5802469135802469
minoritario,0.41975308641975306
pessimo,0.0
otimo,1.0
