,Discriminacao,Dificuldade,Adivinhacao
V1,2.215,0.819,0.000
V2,-1.489,0.687,0.000
V3,-29.417,0.649,0.045
V4,-1.633,0.450,0.000
V5,1.614,0.545,0.000
V6,2.447,1.159,0.000
V7,3.795,0.719,0.000
V8,-42.576,0.694,0.000
V9,36.836,0.687,0.000
V10,-3.913,0.821,0.000
V11,-2.569,0.611,0.000
V12,-2.731,0.929,0.000
V13,1.489,0.687,0.000
V14,-3.791,0.719,0.000
V15,-1.632,0.450,0.000
V16,2.354,0.222,0.000
V17,34.240,0.678,0.000
V18,-4.961,0.802,0.000
V19,-47.519,0.712,0.000
V20,1.381,0.436,0.000
V21,-44.984,0.682,0.000
V22,1.439,0.133,0.000
V23,34.115,0.693,0.000
V24,-3.467,0.905,0.000
V25,1.141,-0.061,0.000
V26,-1.862,0.463,0.000
V27,-52.557,0.703,0.000
V28,-42.890,0.704,0.000
V29,4.848,0.652,0.000
V30,-50.618,0.710,0.000
V31,-40.005,0.700,0.000
V32,33.036,0.683,0.000
V33,-3.467,0.905,0.000
V34,2.496,0.772,0.000
V35,1.890,1.054,0.000
V36,37.814,0.696,0.000
V37,2.067,0.516,0.000
V38,-4.819,0.742,0.000
V39,-47.501,0.719,0.000
V40,1.963,0.468,0.000
V41,-38.108,0.660,0.000
V42,-38.044,0.701,0.000
V43,-37.834,0.696,0.000
V44,-38.558,0.660,0.000
V45,38.434,0.669,0.000
V46,-1.672,0.641,0.000
V47,32.446,0.688,0.000
V48,45.973,0.707,0.000
V49,2.739,0.292,0.000
V50,-2.980,0.501,0.000
V51,-3.221,0.725,0.000
V52,-2.001,1.094,0.000
V53,-39.081,-1.678,0.314
V54,2.646,0.329,0.000
V55,-2.622,1.017,0.000
V56,-2.175,0.648,0.000
V57,-44.295,0.708,0.000
V58,-2.414,1.071,0.000
V59,1.851,0.177,0.000
V60,1.963,0.467,0.000
V61,32.440,0.688,0.000
V62,-1.499,0.589,0.000
V63,-46.684,0.697,0.000
V64,-2.370,1.118,0.000
V65,-38.050,0.701,0.000
V66,1.810,0.366,0.000
V67,-1.358,0.787,0.000
V68,-1.830,0.689,0.000
V69,-1.360,0.586,0.000
V70,-2.731,0.929,0.000
V71,2.659,0.493,0.000
V72,-1.442,0.637,0.000
V73,1.735,0.361,0.000
V74,-40.241,-0.048,0.235
V75,-3.231,0.652,0.000
V76,-39.631,0.696,0.000
V77,41.345,0.705,0.000
V78,-4.845,0.652,0.000
V79,-1.372,0.486,0.000
V80,1.060,-0.014,0.000
V81,-45.168,0.693,0.000
V82,-2.050,0.560,0.000
V83,1.141,-0.060,0.000
V84,45.563,0.713,0.000
V85,2.345,0.858,0.000
V86,-47.502,0.719,0.000
V87,45.616,0.707,0.000
V88,-38.824,-1.318,0.249
V89,33.837,0.678,0.000
V90,1.354,0.383,0.000
V91,-1.358,0.636,0.000
V92,1.928,0.646,0.000
V93,44.816,0.703,0.000
V94,2.480,0.276,0.000
V95,-2.108,0.430,0.000
V96,-1.747,0.596,0.000
V97,-3.320,0.833,0.000
V98,3.791,0.719,0.000
V99,2.107,1.181,0.000
V100,1.351,0.071,0.000
V101,-41.058,0.690,0.000
V102,33.677,0.693,0.000
V103,-37.734,-1.666,0.326
V104,39.902,0.691,0.000
V105,40.415,0.651,0.000
V106,5.467,0.507,0.000
V107,2.263,0.437,0.000
V108,-42.644,0.686,0.000
V109,2.388,0.526,0.000
V110,-1.752,0.550,0.000
V111,-36.415,0.687,0.000
V112,-3.853,0.787,0.000
V113,-2.731,0.929,0.000
V114,-44.450,0.703,0.000
V115,1.889,0.962,0.000
V116,2.130,0.250,0.000
V117,-2.251,0.947,0.000
V118,-41.602,0.710,0.000
V119,-2.562,0.731,0.000
V120,-35.384,0.683,0.000
V121,2.334,0.127,0.000
V122,-1.753,0.550,0.000
V123,1.391,0.386,0.000
V124,37.382,0.697,0.000
V125,39.979,0.718,0.000
V126,-1.543,0.591,0.000
V127,-4.806,0.712,0.000
V128,2.296,0.989,0.000
V129,-3.849,0.787,0.000
V130,-41.602,0.710,0.000
V131,-2.646,1.148,0.000
V132,-1.608,0.592,0.000
V133,2.569,0.611,0.000
V134,2.974,0.881,0.000
V135,-39.240,-1.673,0.326
V136,1.678,0.547,0.000
V137,-47.520,0.712,0.000
V138,-4.879,0.772,0.000
V139,2.860,0.380,0.000
V140,-41.478,0.682,0.000
V141,-2.563,0.731,0.000
V142,-4.422,0.953,0.000
V143,-47.520,0.712,0.000
V144,-29.355,-0.981,0.264
V145,-3.853,0.787,0.000
V146,2.431,0.089,0.000
V147,-2.064,0.517,0.000
V148,-1.985,0.422,0.000
V149,-47.502,0.719,0.000
V150,-46.685,0.697,0.000
V151,-45.954,0.707,0.000
V152,4.848,0.652,0.000
V153,1.377,-0.033,0.000
V154,-3.996,0.854,0.000
V155,2.118,1.087,0.000
V156,1.688,0.005,0.000
V157,-42.348,0.699,0.000
V158,-43.308,0.703,0.000
V159,-3.220,0.688,0.000
V160,36.974,0.674,0.000
V161,4.814,0.682,0.000
V162,-2.980,0.501,0.000
