Clf,Score
GaussianNB,52.11721169140021
BernoulliNB,52.11721169140021
KNeighborsClassifier(2),52.11721169140021
KNeighborsClassifier(3),52.11721169140021
KNeighborsClassifier(5),52.11721169140021
KNeighborsClassifier(8),52.11721169140021
DecisionTreeClassifier(),52.11721169140021
RandomForestClassifier(3_estimators),52.11721169140021
RandomForestClassifier(5_estimators),52.11721169140021
RandomForestClassifier,52.11721169140021
SVM,52.11721169140021
majoritario,52.11721169140021
otimo,52.11721169140021
rand1,53.02444395464548
rand2,54.92579476497947
rand3,56.724652824835786
MLPClassifier,58.012210593275334
minoritario,58.012210593275334
pessimo,58.012210593275334
