Clf,Score
MLPClassifier,73.22402317771169
minoritario,73.22402317771169
pessimo,73.22402317771169
rand3,73.97250390708201
rand2,75.03209597637577
rand1,76.11188804580621
GaussianNB,76.59005524275432
BernoulliNB,76.59005524275432
KNeighborsClassifier(2),76.59005524275432
KNeighborsClassifier(3),76.59005524275432
KNeighborsClassifier(5),76.59005524275432
KNeighborsClassifier(8),76.59005524275432
DecisionTreeClassifier(),76.59005524275432
RandomForestClassifier(3_estimators),76.59005524275432
RandomForestClassifier(5_estimators),76.59005524275432
RandomForestClassifier,76.59005524275432
SVM,76.59005524275432
majoritario,76.59005524275432
otimo,76.59005524275432
