Clf,Theta
GaussianNB,0.8702859207324991
BernoulliNB,0.8702859207324991
KNeighborsClassifier(2),0.8702859207324991
KNeighborsClassifier(3),0.8702859207324991
KNeighborsClassifier(5),0.8702859207324991
KNeighborsClassifier(8),0.8702859207324991
DecisionTreeClassifier(),0.8702859207324991
RandomForestClassifier(3_estimators),0.8702859207324991
RandomForestClassifier(5_estimators),0.8702859207324991
RandomForestClassifier,0.8702859207324991
SVM,0.8702859207324991
MLPClassifier,1.1827104664487684
rand1,0.9110388095762278
rand2,1.0043918440617114
rand3,1.1033932891892044
majoritario,0.8702859207324991
minoritario,1.1827104664487684
pessimo,1.1827104664487684
otimo,0.8702859207324991
