Metodo,Acuracia
GaussianNB,0.7488469601677148
BernoulliNB,0.6522012578616352
KNeighborsClassifier(2),0.687561146051712
KNeighborsClassifier(3),0.6855695317959469
KNeighborsClassifier(5),0.7097833682739343
KNeighborsClassifier(8),0.7227463312368972
DecisionTreeClassifier(),0.7226065688329839
RandomForestClassifier(3_estimators),0.6816212438853949
RandomForestClassifier(5_estimators),0.707686932215234
RandomForestClassifier,0.7453179594689029
SVM,0.6522012578616352
MLPClassifier,0.7136617749825297
rand1,0.5367965367965368
rand2,0.5367965367965368
rand3,0.4675324675324675
majoritario,0.6493506493506493
minoritario,0.35064935064935066
pessimo,0.0
otimo,1.0
