,Discriminacao,Dificuldade,Adivinhacao
V1,3.723,2.246,0.000
V2,-1.557,0.119,0.201
V3,0.314,-0.864,0.003
V4,-2.366,1.391,0.001
V5,-7.503,-2.831,0.208
V6,-1.629,2.468,0.005
V7,-0.253,7.200,0.080
V8,-1.172,2.068,0.007
V9,0.782,1.222,0.000
V10,-2.598,1.913,0.001
V11,0.962,2.187,0.000
V12,2.287,1.989,0.000
V13,-1.133,-1.922,0.370
V14,1.234,2.618,0.000
V15,14.925,2.022,0.000
V16,4.160,1.887,0.000
V17,-2.025,2.254,0.006
V18,0.438,1.820,0.001
V19,-2.120,0.818,0.272
V20,-0.918,2.492,0.012
V21,-0.791,-0.741,0.330
V22,-14.108,1.362,0.334
V23,1.435,1.801,0.000
V24,-0.250,4.799,0.078
V25,-2.690,-2.681,0.276
V26,-1.875,0.479,0.562
V27,1.118,1.924,0.000
V28,-11.732,-1.945,0.345
V29,2.050,1.719,0.000
V30,-0.165,11.938,0.072
V31,-2.705,0.633,0.405
V32,0.060,-37.403,0.075
V33,-1.406,1.918,0.027
V34,-16.221,2.024,0.001
V35,-8.547,1.528,0.330
V36,1.193,2.295,0.001
V37,-1.684,-0.064,0.283
V38,-1.820,-0.940,0.241
V39,-3.643,1.699,0.007
V40,-14.026,2.020,0.001
V41,0.466,0.405,0.000
V42,-0.966,-0.049,0.306
V43,-1.251,2.300,0.010
V44,-2.067,2.348,0.001
V45,-8.391,2.758,0.000
V46,0.496,-1.580,0.000
V47,-0.110,10.411,0.082
V48,-13.730,2.079,0.001
V49,-5.166,-2.066,0.256
V50,1.558,1.732,0.000
V51,-0.802,-0.079,0.003
V52,-1.670,2.236,0.009
V53,-1.401,1.534,0.002
V54,1.908,1.765,0.000
V55,-3.091,2.198,0.001
V56,-0.639,2.745,0.003
V57,-2.632,1.833,0.001
V58,0.006,-277.540,0.084
V59,1.334,0.491,0.000
V60,0.894,1.057,0.000
V61,1.441,1.368,0.000
V62,-1.894,-2.245,0.482
V63,-6.594,-2.527,0.202
V64,0.413,1.045,0.000
V65,-3.728,2.245,0.001
V66,2.117,2.041,0.000
V67,-1.169,2.147,0.007
V68,-7.506,-1.954,0.231
V69,-1.037,2.012,0.001
V70,-10.139,2.185,0.001
V71,-0.845,1.245,0.009
V72,-0.655,2.556,0.026
V73,-0.316,6.422,0.047
V74,-1.686,2.550,0.001
V75,0.611,3.675,0.095
V76,-0.443,2.300,0.010
V77,-3.116,0.058,0.287
V78,0.128,-10.167,0.034
V79,-1.710,1.606,0.003
V80,0.738,-0.950,0.000
V81,-3.243,1.970,0.001
V82,1.988,1.721,0.015
V83,-14.979,2.022,0.001
V84,0.274,-3.935,0.017
V85,-0.813,2.631,0.003
V86,-1.358,2.290,0.005
V87,0.935,-0.162,0.000
V88,-1.115,1.924,0.003
V89,0.658,1.022,0.000
V90,-16.221,2.024,0.001
V91,-2.980,0.382,0.368
V92,-2.521,1.557,0.001
V93,0.412,-2.390,0.017
V94,-1.919,1.440,0.001
V95,0.108,-12.544,0.062
V96,2.031,2.257,0.000
V97,0.394,0.755,0.001
V98,-2.306,1.981,0.095
V99,-2.072,-1.204,0.371
V100,1.441,2.314,0.000
V101,-2.450,-1.996,0.255
V102,0.450,6.801,0.131
V103,-1.181,1.071,0.000
V104,0.401,-2.999,0.001
V105,-2.602,1.912,0.001
V106,-3.020,-2.642,0.181
V107,-1.695,-1.018,0.477
V108,-1.415,0.149,0.535
V109,-0.847,1.998,0.002
V110,-5.615,-2.235,0.418
V111,-1.377,2.277,0.001
V112,-3.734,-1.968,0.274
V113,-2.164,1.745,0.002
V114,0.568,1.228,0.000
V115,-13.988,2.020,0.001
V116,-6.092,-2.173,0.294
V117,0.764,3.892,0.048
V118,-1.819,2.255,0.001
V119,-3.462,-2.024,0.221
V120,-0.791,2.401,0.012
V121,-1.630,2.588,0.004
V122,0.232,-2.721,0.010
V123,-4.184,2.083,0.001
V124,-1.527,2.336,0.004
V125,1.825,2.467,0.000
V126,-3.624,-2.216,0.206
V127,-0.602,2.163,0.009
V128,-13.752,0.734,0.349
V129,0.382,0.258,0.000
V130,0.128,-16.243,0.071
V131,-2.003,-0.245,0.386
V132,0.254,-5.203,0.016
V133,-3.681,-2.903,0.266
V134,1.082,1.648,0.000
V135,-1.091,2.811,0.005
V136,-3.152,1.520,0.255
V137,1.631,2.472,0.000
V138,-1.296,2.172,0.011
V139,0.409,6.243,0.104
V140,-1.025,1.695,0.005
V141,-2.057,2.353,0.001
V142,-1.244,1.521,0.002
V143,-18.305,1.973,0.001
V144,0.540,2.052,0.000
V145,-3.035,1.740,0.195
V146,-0.998,3.397,0.004
V147,-0.742,0.818,0.404
V148,0.621,2.038,0.000
V149,-0.921,1.636,0.001
V150,-2.283,2.166,0.001
V151,-1.026,2.402,0.011
V152,-0.452,-0.147,0.011
V153,-3.166,-1.582,0.245
V154,-2.457,-2.533,0.229
V155,0.165,-12.372,0.058
V156,0.266,-1.326,0.002
V157,-2.522,2.315,0.001
V158,-0.686,2.004,0.011
V159,-4.184,2.083,0.001
V160,-0.753,2.597,0.002
V161,1.197,1.643,0.033
V162,0.641,-1.025,0.000
V163,-1.000,-1.137,0.386
V164,-1.297,0.892,0.001
V165,-0.124,9.687,0.077
V166,3.052,1.643,0.000
V167,1.397,1.339,0.000
V168,0.242,-3.509,0.012
V169,0.376,0.790,0.000
V170,0.850,-0.258,0.000
V171,0.051,-45.827,0.072
V172,-1.285,1.494,0.003
V173,-1.084,2.253,0.001
V174,0.649,-0.563,0.000
V175,0.541,1.831,0.004
V176,-1.625,2.592,0.004
V177,-1.873,2.227,0.001
V178,0.180,3.270,0.041
V179,-1.073,1.776,0.001
V180,-3.690,1.765,0.003
V181,0.374,-0.598,0.001
V182,-1.200,2.450,0.006
V183,-2.522,2.315,0.001
V184,-2.671,-2.132,0.525
V185,0.405,-2.969,0.004
V186,-1.476,-0.864,0.248
V187,4.996,2.906,0.250
V188,-5.219,-1.795,0.255
V189,-0.271,9.114,0.048
V190,-2.016,-0.507,0.432
V191,0.208,-5.730,0.036
V192,-2.613,-1.766,0.233
V193,-2.818,2.133,0.001
V194,-4.189,2.083,0.001
V195,0.711,0.464,0.000
V196,-1.990,-0.954,0.271
V197,-4.330,1.432,0.202
V198,-4.389,1.127,0.334
V199,-1.149,2.421,0.005
V200,0.573,1.355,0.000
V201,0.483,3.648,0.003
V202,-1.183,1.105,0.006
V203,0.785,1.217,0.000
V204,-1.633,2.467,0.003
V205,1.337,1.092,0.000
V206,-2.758,-2.207,0.241
V207,-1.577,-1.369,0.271
V208,-16.038,1.460,0.223
V209,0.862,1.190,0.000
V210,3.047,2.205,0.000
V211,-1.407,0.808,0.381
V212,-2.379,2.238,0.001
V213,-0.669,2.738,0.005
V214,-3.295,-1.804,0.424
V215,-8.398,1.531,0.330
V216,0.839,0.595,0.000
V217,-2.640,-0.370,0.317
V218,-4.943,1.941,0.001
V219,-7.087,-1.204,0.403
V220,-0.665,0.869,0.093
V221,1.002,1.384,0.000
V222,0.285,-5.949,0.020
V223,-0.228,9.074,0.063
V224,-4.190,2.083,0.001
V225,-0.612,2.189,0.017
V226,-1.407,-1.658,0.375
V227,-2.092,2.773,0.004
V228,-0.048,-13.697,0.089
V229,-0.939,0.205,0.029
V230,-18.305,1.973,0.001
V231,-18.304,1.973,0.001
