Clf,Score
GaussianNB,41.28626750872049
KNeighborsClassifier(2),41.28626750872049
KNeighborsClassifier(3),41.28626750872049
KNeighborsClassifier(5),41.28626750872049
KNeighborsClassifier(8),41.28626750872049
RandomForestClassifier(3_estimators),41.28626750872049
RandomForestClassifier(5_estimators),41.28626750872049
RandomForestClassifier,41.28626750872049
MLPClassifier,41.28626750872049
DecisionTreeClassifier(),43.25149160584916
SVM,46.909055513494074
majoritario,46.909055513494074
otimo,53.25525016771774
BernoulliNB,54.023143813384095
rand3,59.513821525998424
rand1,60.34777729650008
pessimo,61.9089599495964
rand2,62.88784033360692
minoritario,68.91460653571697
