Clf,Theta
GaussianNB,1.4807157609545012
BernoulliNB,2.317401622298642
KNeighborsClassifier(2),1.4807157609545012
KNeighborsClassifier(3),1.4807157609545012
KNeighborsClassifier(5),1.4807157609545012
KNeighborsClassifier(8),1.4807157609545012
DecisionTreeClassifier(),1.6285942345865738
RandomForestClassifier(3_estimators),1.4807157609545012
RandomForestClassifier(5_estimators),1.4807157609545012
RandomForestClassifier,1.4807157609545012
SVM,1.8790090585010053
MLPClassifier,1.4807157609545012
rand1,2.863410869259249
rand2,3.1527368106236406
rand3,2.7806713949191493
majoritario,1.8790090585010053
minoritario,4.405357094665686
pessimo,3.032747445285189
otimo,2.2615979072343566
