Metodo,Acuracia
GaussianNB,0.9378030849470121
BernoulliNB,0.9366725850302393
KNeighborsClassifier(2),0.6677953170948233
KNeighborsClassifier(3),0.7783998224490928
KNeighborsClassifier(5),0.7847250735171725
KNeighborsClassifier(8),0.8152693780169782
DecisionTreeClassifier(),0.8964656272540642
RandomForestClassifier(3_estimators),0.8461590745158964
RandomForestClassifier(5_estimators),0.8737418853686956
RandomForestClassifier,0.9184333906674803
SVM,0.9515799256505575
MLPClassifier,0.9448690562059591
rand1,0.34530938123752497
rand2,0.2754491017964072
rand3,0.34930139720558884
majoritario,0.5189620758483033
minoritario,0.23952095808383234
pessimo,0.0
otimo,1.0
