Metodo,Acuracia
GaussianNB,0.9421157684630739
BernoulliNB,0.9401197604790419
KNeighborsClassifier(2),0.6846307385229541
KNeighborsClassifier(3),0.7784431137724551
KNeighborsClassifier(5),0.8163672654690619
KNeighborsClassifier(8),0.8083832335329342
DecisionTreeClassifier(),0.9261477045908184
RandomForestClassifier(3_estimators),0.8343313373253493
RandomForestClassifier(5_estimators),0.8862275449101796
RandomForestClassifier,0.9321357285429142
SVM,0.9520958083832335
MLPClassifier,0.9540918163672655
rand1,0.34530938123752497
rand2,0.2754491017964072
rand3,0.34930139720558884
majoritario,0.5189620758483033
minoritario,0.23952095808383234
pessimo,0.0
otimo,1.0
