,Discriminacao,Dificuldade,Adivinhacao
V1,6.067,-0.423,0.605
V2,2.378,-1.757,0.093
V3,10.640,-1.221,0.037
V4,2.609,-0.371,0.024
V5,-1.008,-1.851,0.006
V6,-0.639,14.216,0.216
V7,1.401,-3.250,0.070
V8,1.177,-2.794,0.111
V9,-0.643,14.150,0.216
V10,1.805,-2.012,0.112
V11,1.533,-0.596,0.014
V12,-1.259,-2.080,0.000
V13,6.784,-1.387,0.053
V14,10.412,-1.158,0.008
V15,-0.649,14.020,0.218
V16,4.504,-1.810,0.057
V17,9.742,-0.728,0.002
V18,-0.653,13.956,0.218
V19,1.473,-2.289,0.121
V20,2.167,-1.342,0.260
V21,1.804,-2.018,0.107
V22,1.268,-1.908,0.072
V23,6.590,-0.887,0.021
V24,6.325,-1.543,0.077
V25,8.070,-0.883,0.201
V26,1.803,-2.021,0.105
V27,-0.656,13.893,0.219
V28,7.461,-0.677,0.248
V29,1.804,-2.018,0.107
V30,2.683,-0.800,0.014
V31,10.278,-1.275,0.064
V32,-0.391,3.964,0.152
V33,-0.659,13.831,0.219
V34,1.476,-2.283,0.122
V35,21.941,0.172,0.348
V36,9.450,-1.315,0.083
V37,1.406,-3.247,0.064
V38,1.459,-2.311,0.124
V39,-2.802,-0.501,0.000
V40,9.689,-1.273,0.055
V41,7.147,-1.441,0.078
V42,0.527,-1.327,0.047
V43,1.445,-2.650,0.093
V44,6.301,-0.769,0.043
V45,7.445,0.398,0.641
V46,-0.687,2.047,0.148
V47,6.050,-0.736,0.375
V48,1.447,-2.637,0.091
V49,-0.663,13.769,0.220
V50,11.401,-1.230,0.040
V51,-0.666,13.708,0.220
V52,4.405,-0.767,0.427
V53,2.390,-1.754,0.089
V54,11.211,-0.838,0.070
V55,-0.669,13.648,0.221
V56,8.088,-1.270,0.043
V57,4.945,-1.768,0.061
V58,7.943,-1.374,0.076
V59,10.045,-1.275,0.060
V60,1.990,-2.146,0.077
V61,1.541,-1.928,0.181
V62,1.348,-3.345,0.068
V63,6.315,-1.459,0.057
V64,6.910,-0.722,0.383
V65,0.805,-5.444,0.057
V66,8.382,-1.368,0.091
V67,8.633,-0.659,0.325
V68,7.398,-1.323,0.049
V69,7.067,-1.384,0.056
V70,10.289,-1.218,0.034
V71,1.555,-0.684,0.504
V72,-2.194,0.453,0.000
V73,-0.673,13.588,0.222
V74,8.214,-1.371,0.079
V75,1.406,-3.246,0.064
V76,-0.676,13.530,0.222
V77,-0.679,13.471,0.223
V78,2.861,-1.138,0.248
V79,2.195,-1.322,0.270
V80,1.848,-0.918,0.520
V81,1.541,-1.927,0.181
V82,1.406,-3.246,0.064
V83,2.751,-1.517,0.090
V84,-0.390,3.717,0.133
V85,-0.683,13.414,0.223
V86,4.274,0.197,0.867
V87,1.421,-3.244,0.069
V88,9.790,-0.775,0.104
V89,9.401,-1.315,0.081
V90,1.406,-3.246,0.065
V91,8.474,-1.319,0.062
V92,-0.686,13.357,0.224
