Clf,Score
GaussianNB,403.5864373961798
BernoulliNB,403.5864373961798
KNeighborsClassifier(2),403.5864373961798
KNeighborsClassifier(3),403.5864373961798
KNeighborsClassifier(5),403.5864373961798
KNeighborsClassifier(8),403.5864373961798
DecisionTreeClassifier(),403.5864373961798
RandomForestClassifier(3_estimators),403.5864373961798
RandomForestClassifier(5_estimators),403.5864373961798
RandomForestClassifier,403.5864373961798
SVM,403.5864373961798
MLPClassifier,403.5864373961798
majoritario,403.5864373961798
otimo,403.5864373961798
rand1,403.6243476448477
rand2,403.6261310853481
rand3,403.6261310853481
minoritario,403.6261310853481
pessimo,403.6261310853481
