Clf,Score
rand2,430.30605755588397
rand3,430.30605755588397
minoritario,430.30605755588397
pessimo,430.30605755588397
rand1,431.12447258374675
GaussianNB,457.7395325331526
BernoulliNB,457.7395325331526
KNeighborsClassifier(2),457.7395325331526
KNeighborsClassifier(3),457.7395325331526
KNeighborsClassifier(5),457.7395325331526
KNeighborsClassifier(8),457.7395325331526
DecisionTreeClassifier(),457.7395325331526
RandomForestClassifier(3_estimators),457.7395325331526
RandomForestClassifier(5_estimators),457.7395325331526
RandomForestClassifier,457.7395325331526
SVM,457.7395325331526
MLPClassifier,457.7395325331526
majoritario,457.7395325331526
otimo,457.7395325331526
