Metodo,Acuracia
GaussianNB,0.5657142857142856
BernoulliNB,0.5914285714285714
KNeighborsClassifier(2),0.6142857142857143
KNeighborsClassifier(3),0.5228571428571428
KNeighborsClassifier(5),0.5485714285714286
KNeighborsClassifier(8),0.5828571428571429
DecisionTreeClassifier(),0.5857142857142856
RandomForestClassifier(3_estimators),0.5485714285714287
RandomForestClassifier(5_estimators),0.5485714285714285
RandomForestClassifier,0.5771428571428572
SVM,0.5771428571428571
MLPClassifier,0.5542857142857143
rand1,0.47333333333333333
rand2,0.54
rand3,0.5466666666666666
majoritario,0.58
minoritario,0.42
pessimo,0.0
otimo,1.0
