Clf,Score
BernoulliNB,83.4043467056655
KNeighborsClassifier(8),83.4043467056655
RandomForestClassifier(3_estimators),83.4043467056655
RandomForestClassifier(5_estimators),83.4043467056655
RandomForestClassifier,83.4043467056655
SVM,83.4043467056655
rand1,83.4043467056655
rand3,83.4043467056655
majoritario,83.4043467056655
pessimo,83.4043467056655
DecisionTreeClassifier(),83.4053807270741
GaussianNB,83.80371751495858
MLPClassifier,83.81549439213609
KNeighborsClassifier(2),85.18349781541254
KNeighborsClassifier(3),85.18349781541254
rand2,85.228719992577
KNeighborsClassifier(5),85.45095705117409
otimo,86.80235507262674
minoritario,86.99452552130478
