Clf,Theta
GaussianNB,-0.03486838175114355
BernoulliNB,-0.26028482846192486
KNeighborsClassifier(2),0.7330985508908728
KNeighborsClassifier(3),0.7330985508908728
KNeighborsClassifier(5),0.8923542666824038
KNeighborsClassifier(8),-0.26028482846192486
DecisionTreeClassifier(),-0.25998202436319795
RandomForestClassifier(3_estimators),-0.26028482846192486
RandomForestClassifier(5_estimators),-0.26028482846192486
RandomForestClassifier,-0.26028482846192486
SVM,-0.26028482846192486
MLPClassifier,-0.025334590181333206
rand1,-0.26028482846192486
rand2,0.7552750998652868
rand3,-0.26028482846192486
majoritario,-0.26028482846192486
minoritario,5.772282072565692
pessimo,-0.26028482846192486
otimo,2.780380603227896
