Metodo,Acuracia
GaussianNB,0.5533182503770739
BernoulliNB,0.3806184012066365
KNeighborsClassifier(2),0.47194570135746605
KNeighborsClassifier(3),0.44068627450980397
KNeighborsClassifier(5),0.48167420814479633
KNeighborsClassifier(8),0.47756410256410253
DecisionTreeClassifier(),0.5884615384615384
RandomForestClassifier(3_estimators),0.5630090497737557
RandomForestClassifier(5_estimators),0.6195324283559577
RandomForestClassifier,0.6484162895927602
SVM,0.37880844645550527
MLPClassifier,0.40795625942684766
rand1,0.21266968325791855
rand2,0.22171945701357465
rand3,0.2081447963800905
majoritario,0.2895927601809955
minoritario,0.14479638009049775
pessimo,0.0
otimo,1.0
