Metodo,Acuracia
GaussianNB,0.49321266968325794
BernoulliNB,0.3755656108597285
KNeighborsClassifier(2),0.46153846153846156
KNeighborsClassifier(3),0.45701357466063347
KNeighborsClassifier(5),0.43891402714932126
KNeighborsClassifier(8),0.4253393665158371
DecisionTreeClassifier(),0.6018099547511312
RandomForestClassifier(3_estimators),0.5882352941176471
RandomForestClassifier(5_estimators),0.579185520361991
RandomForestClassifier,0.6199095022624435
SVM,0.4434389140271493
MLPClassifier,0.4479638009049774
rand1,0.21266968325791855
rand2,0.22171945701357465
rand3,0.2081447963800905
majoritario,0.2895927601809955
minoritario,0.14479638009049775
pessimo,0.0
otimo,1.0
