,Discriminacao,Dificuldade,Adivinhacao
V1,0.587,1.909,0.000
V2,-0.027,-84.844,0.000
V3,0.152,6.348,0.000
V4,0.447,3.343,0.000
V5,-1.167,-0.933,0.167
V6,0.293,4.712,0.000
V7,-0.082,-12.826,0.000
V8,28.379,2.063,0.017
V9,1.165,1.535,0.000
V10,0.182,8.171,0.000
V11,-0.035,15.156,0.061
V12,0.053,8.926,0.038
V13,-0.193,-5.471,0.000
V14,0.410,5.750,0.000
V15,0.067,-0.088,0.025
V16,-1.224,0.077,0.000
V17,0.049,13.872,0.198
V18,-5.939,-1.056,0.109
V19,-1.446,-2.006,0.119
V20,-0.062,-31.276,0.031
V21,-2.687,-0.966,0.124
V22,-1.292,-1.983,0.113
V23,-1.383,-0.710,0.000
V24,0.080,-1.277,0.023
V25,-2.003,-1.517,0.066
V26,0.049,58.338,0.414
V27,25.165,2.116,0.111
V28,34.490,1.992,0.307
V29,-0.449,3.887,0.008
V30,-0.153,-9.803,0.000
V31,-46.574,0.014,0.073
V32,-0.276,-4.144,0.000
V33,0.061,-0.931,0.093
V34,0.395,7.296,0.000
V35,0.009,112.474,0.058
V36,-0.442,3.955,0.008
V37,-0.318,-1.309,0.000
V38,30.071,2.097,0.068
V39,0.138,0.135,0.003
V40,0.354,4.229,0.000
V41,0.501,2.653,0.018
V42,0.085,1.753,0.010
V43,-2.494,-2.205,0.121
V44,0.387,3.428,0.000
V45,-3.009,-0.893,0.183
V46,-0.687,-1.438,0.000
V47,-0.097,-7.108,0.000
V48,-0.482,-2.851,0.000
V49,-1.327,-0.821,0.048
V50,-3.991,0.288,0.028
V51,-3.075,-1.188,0.165
V52,-0.858,-0.205,0.000
V53,-0.574,-4.855,0.202
V54,35.769,2.051,0.034
V55,0.802,1.431,0.000
V56,0.092,10.370,0.000
V57,0.074,-1.869,0.052
V58,-0.171,3.981,0.023
V59,-1.930,-1.867,0.084
V60,24.435,2.058,0.240
V61,-0.881,-1.521,0.000
V62,-0.139,-11.195,0.000
