Clf,Score
BernoulliNB,10.047987842753322
majoritario,20.648041056476316
pessimo,20.648041056476316
rand3,22.309679150469048
KNeighborsClassifier(8),26.374609977914186
MLPClassifier,26.64035340764775
KNeighborsClassifier(2),29.339330520534183
GaussianNB,36.58444204975146
SVM,72.5088775342965
KNeighborsClassifier(5),74.4455424619227
rand1,79.38150173931047
KNeighborsClassifier(3),81.12413105881728
minoritario,82.74767197845061
RandomForestClassifier,85.24859921125783
RandomForestClassifier(5_estimators),86.88267061508286
rand2,87.39601586251726
DecisionTreeClassifier(),90.07846053234276
RandomForestClassifier(3_estimators),92.42592867059447
otimo,99.79779705867352
