Clf,Theta
GaussianNB,1.9531725678068386
BernoulliNB,-25.61395723955632
KNeighborsClassifier(2),0.9690115772873681
KNeighborsClassifier(3),5.267836887070553
KNeighborsClassifier(5),3.3620043205975096
KNeighborsClassifier(8),0.24683378465131509
DecisionTreeClassifier(),9.670961099207352
RandomForestClassifier(3_estimators),11.694992644586518
RandomForestClassifier(5_estimators),7.693782389110212
RandomForestClassifier,6.893749799231708
SVM,2.9105686942098945
MLPClassifier,0.31721446835335854
rand1,4.702945851464477
rand2,7.96979622766128
rand3,-1.0712004346075439
majoritario,-1.819347494702184
minoritario,5.85256048185183
pessimo,-1.819347494702184
otimo,29.148822588962247
