Metodo,Acuracia
GaussianNB,0.17964071856287425
BernoulliNB,0.3313373253493014
KNeighborsClassifier(2),0.500998003992016
KNeighborsClassifier(3),0.5469061876247505
KNeighborsClassifier(5),0.5528942115768463
KNeighborsClassifier(8),0.5329341317365269
DecisionTreeClassifier(),0.5568862275449101
RandomForestClassifier(3_estimators),0.5329341317365269
RandomForestClassifier(5_estimators),0.5409181636726547
RandomForestClassifier,0.5768463073852296
SVM,0.5349301397205589
MLPClassifier,0.5608782435129741
rand1,0.14770459081836326
rand2,0.1317365269461078
rand3,0.18562874251497005
majoritario,0.4171656686626746
minoritario,0.07984031936127745
pessimo,0.0
otimo,1.0
