,Discriminacao,Dificuldade,Adivinhacao
V1,6.420,-1.737,0.047
V2,-6.116,-1.937,0.031
V3,6.041,-1.514,0.045
V4,-7.361,-2.031,0.004
V5,2.975,-2.288,0.010
V6,5.869,-1.587,0.040
V7,2.132,-0.805,0.076
V8,-0.487,-12.303,0.000
V9,3.144,-2.029,0.012
V10,-1.534,-2.029,0.001
V11,6.001,-1.653,0.038
V12,7.014,2.437,0.057
V13,5.565,-1.672,0.040
V14,-1.365,-2.773,0.006
V15,-3.271,-1.796,0.005
V16,0.972,7.084,0.026
V17,-3.999,-2.993,0.014
V18,0.942,-3.301,0.060
V19,2.977,-2.288,0.010
V20,6.420,-1.737,0.047
V21,2.977,-2.287,0.010
V22,3.158,-2.027,0.011
V23,0.980,-2.708,0.068
V24,-0.487,-12.303,0.000
V25,6.760,2.122,0.241
V26,3.159,-2.027,0.011
V27,4.677,-0.694,0.350
V28,2.980,-2.287,0.010
V29,3.160,-2.027,0.011
V30,2.742,-2.150,0.063
V31,2.981,-2.287,0.010
V32,-1.705,-1.841,0.019
V33,4.248,-0.596,0.271
V34,2.982,-2.286,0.010
V35,3.315,-1.757,0.059
V36,2.205,1.375,0.197
V37,-2.186,-2.582,0.000
V38,8.660,-0.966,0.166
V39,3.941,-1.390,0.022
V40,4.024,1.829,0.121
V41,0.001,7646.083,0.037
V42,2.060,1.174,0.177
V43,6.419,-1.737,0.047
V44,2.687,-1.845,0.053
V45,-1.772,-1.666,0.000
V46,-1.505,-1.149,0.002
V47,-0.751,1.172,0.006
V48,-3.022,0.330,0.000
V49,-4.430,-2.130,0.005
V50,-0.054,25.944,0.082
V51,-0.487,-12.303,0.000
V52,3.942,-1.390,0.022
V53,-2.301,-2.665,0.000
V54,-2.821,-0.995,0.245
V55,7.457,-0.831,0.479
V56,0.378,-1.284,0.070
V57,3.157,-0.698,0.464
V58,12.367,1.136,0.101
V59,1.231,-2.275,0.059
V60,-3.282,-1.359,0.000
V61,2.985,-2.286,0.010
V62,-2.185,-2.582,0.000
V63,-4.107,-2.126,0.004
V64,0.602,3.207,0.168
V65,-2.185,-2.582,0.000
V66,1.146,-2.218,0.069
V67,-2.001,-1.579,0.000
V68,8.403,-0.608,0.028
V69,-3.809,-1.640,0.000
V70,-2.185,-2.582,0.000
V71,-2.510,-1.169,0.268
V72,-0.487,-12.303,0.000
V73,0.262,-7.370,0.072
V74,-3.689,-1.734,0.000
V75,0.349,-4.095,0.072
V76,2.988,-2.285,0.010
V77,-7.361,-2.031,0.004
V78,-0.715,1.534,0.072
V79,-1.476,-0.192,0.000
V80,-0.487,-12.303,0.000
V81,-1.678,-2.452,0.000
V82,-5.497,-1.691,0.006
V83,6.419,-1.737,0.047
V84,-0.487,-12.303,0.000
V85,6.166,-1.275,0.046
V86,5.498,-1.370,0.043
V87,-0.487,-12.303,0.000
