Clf,Score
RandomForestClassifier(5_estimators),241.17497363090854
SVM,241.17497363090854
majoritario,241.17497363090854
pessimo,256.37452148203124
rand2,256.8455601760703
rand1,256.9589371074119
minoritario,258.5749808300025
BernoulliNB,260.140382712233
rand3,261.402749185831
GaussianNB,263.1881772890118
KNeighborsClassifier(8),266.12462280722264
DecisionTreeClassifier(),266.3814365054179
RandomForestClassifier,268.27883358479437
KNeighborsClassifier(5),269.88041945000936
KNeighborsClassifier(3),270.73268587647107
RandomForestClassifier(3_estimators),271.25299522419175
MLPClassifier,271.4605779678714
KNeighborsClassifier(2),272.22104206832586
otimo,290.24356689429476
