Clf,Theta
GaussianNB,1.6059928520421303
BernoulliNB,1.3294669715307128
KNeighborsClassifier(2),2.2145216751008396
KNeighborsClassifier(3),2.103742944838876
KNeighborsClassifier(5),2.0409344215538723
KNeighborsClassifier(8),1.7908930063204098
DecisionTreeClassifier(),1.8061873465339047
RandomForestClassifier(3_estimators),2.1423295829921885
RandomForestClassifier(5_estimators),-1090.492699616651
RandomForestClassifier,1.9266127363341958
SVM,-1090.492699616651
MLPClassifier,2.157764238253513
rand1,0.9139765755244352
rand2,0.877214032992916
rand3,1.4465598789450362
majoritario,-1090.492699616651
minoritario,1.1796631185909676
pessimo,0.6351354967238193
otimo,8738.153699616652
