Metodo,Acuracia
GaussianNB,0.7482383106460153
BernoulliNB,0.84906683204436
KNeighborsClassifier(2),0.9550976631714996
KNeighborsClassifier(3),0.9695893352233641
KNeighborsClassifier(5),0.9669357528506806
KNeighborsClassifier(8),0.9626500385649663
DecisionTreeClassifier(),0.9326471201350817
RandomForestClassifier(3_estimators),0.9392794605073899
RandomForestClassifier(5_estimators),0.9562195910028976
RandomForestClassifier,0.9675489358153884
SVM,0.9537712367888934
MLPClassifier,0.9853049759229535
rand1,0.148
rand2,0.144
rand3,0.198
majoritario,0.188
minoritario,0.136
pessimo,0.0
otimo,1.0
