Clf,Score
BernoulliNB,419.7621011489559
rand3,419.7621011489559
majoritario,432.50111667768675
pessimo,432.50111667768675
rand1,447.4900720949574
rand2,452.7847069505911
GaussianNB,453.2075923254574
minoritario,461.9045190927111
RandomForestClassifier(3_estimators),469.6759647129811
SVM,471.6152860665378
DecisionTreeClassifier(),472.743949910497
RandomForestClassifier(5_estimators),474.55513610610717
KNeighborsClassifier(5),476.569165632188
KNeighborsClassifier(8),477.8609149631339
KNeighborsClassifier(3),478.2625939494462
KNeighborsClassifier(2),480.64284045846216
RandomForestClassifier,481.59911168967653
MLPClassifier,492.87982520842894
otimo,492.87982520842894
