Clf,Theta
GaussianNB,0.31737910828975285
BernoulliNB,-0.18199932600363847
KNeighborsClassifier(2),0.6864003598563764
KNeighborsClassifier(3),0.6426005846032233
KNeighborsClassifier(5),0.6161526944401401
KNeighborsClassifier(8),0.6360666035192577
DecisionTreeClassifier(),0.5635509643339143
RandomForestClassifier(3_estimators),0.5248958894599572
RandomForestClassifier(5_estimators),0.5875624506753092
RandomForestClassifier,0.7078068147173635
SVM,0.549119671345002
MLPClassifier,2.371405049511119
rand1,0.24085856297772276
rand2,0.31209606211267427
rand3,-0.18199932600363847
majoritario,-0.021520164235127405
minoritario,0.42779684262388096
pessimo,-0.021520164235127405
otimo,2.371405049511119
