Metodo,Acuracia
GaussianNB,0.5862195121951219
BernoulliNB,0.7128658536585366
KNeighborsClassifier(2),0.703109756097561
KNeighborsClassifier(3),0.6616463414634147
KNeighborsClassifier(5),0.6494512195121951
KNeighborsClassifier(8),0.7031097560975609
DecisionTreeClassifier(),0.6691463414634147
RandomForestClassifier(3_estimators),0.6546951219512195
RandomForestClassifier(5_estimators),0.6910365853658536
RandomForestClassifier,0.6614634146341464
SVM,0.7128658536585366
MLPClassifier,0.6910365853658537
rand1,0.46285714285714286
rand2,0.5371428571428571
rand3,0.56
majoritario,0.7142857142857143
minoritario,0.2857142857142857
pessimo,0.0
otimo,1.0
