Metodo,Acuracia
GaussianNB,0.56
BernoulliNB,0.7142857142857143
KNeighborsClassifier(2),0.7142857142857143
KNeighborsClassifier(3),0.7085714285714285
KNeighborsClassifier(5),0.7028571428571428
KNeighborsClassifier(8),0.6685714285714286
DecisionTreeClassifier(),0.6171428571428571
RandomForestClassifier(3_estimators),0.6971428571428572
RandomForestClassifier(5_estimators),0.64
RandomForestClassifier,0.7314285714285714
SVM,0.72
MLPClassifier,0.7257142857142858
rand1,0.46285714285714286
rand2,0.5371428571428571
rand3,0.56
majoritario,0.7142857142857143
minoritario,0.2857142857142857
pessimo,0.0
otimo,1.0
