,Discriminacao,Dificuldade,Adivinhacao
V1,2.722,-0.933,0.007
V2,4.252,-1.008,0.011
V3,3.353,-0.272,0.005
V4,-2.779,-0.426,0.001
V5,3.245,-0.224,0.003
V6,-2.799,0.043,0.000
V7,2.991,-1.800,0.006
V8,-2.545,-0.909,0.001
V9,2.131,0.012,0.008
V10,2.778,-1.108,0.006
V11,-2.652,-0.744,0.000
V12,-1.749,-1.083,0.000
V13,1.768,-0.973,0.009
V14,-2.921,-1.320,0.002
V15,3.543,-1.424,0.007
V16,-2.523,-1.661,0.011
V17,2.584,-0.512,0.026
V18,1.608,-1.298,0.006
V19,-1.596,-0.625,0.001
V20,1.549,-2.612,0.012
V21,-2.725,-0.382,0.000
V22,12.087,1.241,0.271
V23,1.214,-0.463,0.017
V24,2.080,-1.350,0.006
V25,2.090,-0.886,0.008
V26,2.778,-1.108,0.006
V27,2.632,-1.266,0.006
V28,-2.505,-0.397,0.008
V29,3.301,-1.203,0.012
V30,1.791,-0.774,0.006
V31,-2.231,-0.615,0.000
V32,-2.137,-0.967,0.002
V33,3.296,0.158,0.001
V34,4.185,-0.597,0.004
V35,-2.386,0.026,0.001
V36,1.642,-1.038,0.008
V37,1.637,-1.487,0.006
V38,2.357,-1.237,0.006
V39,-2.552,0.101,0.001
V40,-1.039,-1.612,0.002
V41,-2.137,-0.789,0.002
V42,2.205,-1.570,0.006
V43,-3.555,0.811,0.001
V44,-9.317,-0.898,0.069
V45,1.834,0.235,0.006
V46,-2.482,-0.625,0.000
V47,10.034,-0.833,0.004
V48,2.162,-1.555,0.006
V49,1.573,-0.550,0.003
V50,-2.659,-0.035,0.001
V51,-2.779,-0.426,0.001
V52,3.255,-0.838,0.004
V53,4.961,-0.489,0.004
V54,3.681,0.039,0.002
V55,1.604,-1.401,0.006
V56,1.924,-0.347,0.004
V57,2.774,-1.109,0.006
V58,1.607,-1.143,0.007
V59,1.939,-1.527,0.006
V60,-2.215,-1.302,0.009
V61,2.038,-1.070,0.004
V62,12.917,0.982,0.219
V63,-2.522,-1.661,0.011
V64,-2.512,-0.033,0.001
V65,9.827,1.219,0.283
V66,6.018,-0.820,0.081
V67,2.541,-0.251,0.006
V68,2.357,-1.237,0.006
V69,3.655,-0.711,0.004
V70,1.804,-0.176,0.005
V71,-1.888,0.812,0.001
V72,4.250,-1.008,0.011
V73,2.612,-1.599,0.006
V74,2.633,-1.265,0.006
V75,-2.991,0.227,0.067
V76,-2.461,-0.430,0.000
V77,11.262,-0.055,0.002
V78,3.118,-0.316,0.004
V79,12.200,1.205,0.291
V80,1.581,-1.334,0.007
V81,3.346,-0.679,0.004
V82,6.077,-0.556,0.004
V83,-4.477,-0.781,0.001
V84,4.995,-2.055,0.004
V85,1.689,-1.705,0.006
V86,10.224,-0.831,0.004
V87,2.570,-0.891,0.007
V88,4.995,-2.055,0.004
V89,2.386,-0.294,0.004
V90,5.547,-1.490,0.004
V91,-2.646,-1.256,0.000
V92,-3.454,-0.704,0.013
V93,1.467,-1.747,0.007
V94,1.569,-0.464,0.005
V95,-1.282,0.538,0.003
V96,1.550,-2.610,0.012
V97,-3.815,0.140,0.000
V98,2.723,0.178,0.002
V99,8.076,1.322,0.275
V100,5.337,-0.657,0.004
V101,2.803,-0.453,0.005
V102,-2.258,0.047,0.001
V103,2.651,-1.259,0.006
V104,-2.232,-0.268,0.001
V105,1.551,-2.608,0.012
V106,-2.114,0.414,0.001
V107,2.291,-0.256,0.003
V108,4.853,1.742,0.797
V109,1.506,-1.479,0.006
V110,3.345,-0.680,0.004
V111,3.440,-0.984,0.008
V112,2.555,-0.301,0.007
V113,4.994,-2.055,0.004
V114,2.260,-0.328,0.004
V115,3.233,0.139,0.013
V116,-1.603,-0.868,0.001
V117,2.986,-0.118,0.009
V118,2.632,-1.266,0.006
V119,1.878,-0.848,0.006
V120,2.778,-1.108,0.006
V121,2.393,0.535,0.025
V122,2.365,-1.234,0.006
V123,2.827,-0.395,0.004
V124,2.350,-0.090,0.003
V125,-7.656,-1.282,0.016
V126,2.778,-1.108,0.006
V127,2.638,-1.262,0.006
V128,-2.458,-0.405,0.000
V129,2.132,-1.328,0.007
V130,3.239,-0.250,0.007
V131,3.309,-1.202,0.011
V132,-2.857,-1.149,0.012
V133,4.993,-2.055,0.004
V134,4.303,-1.150,0.007
V135,-10.783,-0.128,0.049
V136,1.807,-0.515,0.004
V137,4.616,-0.455,0.004
V138,3.632,-0.026,0.005
V139,1.393,-1.822,0.007
V140,-2.257,-2.596,0.150
V141,1.433,-1.111,0.006
V142,1.444,-2.841,0.013
V143,-8.904,-1.081,0.113
V144,2.994,-0.962,0.007
V145,2.960,-0.974,0.004
V146,2.169,-1.198,0.006
V147,2.892,-0.072,0.002
V148,2.383,-0.111,0.003
V149,2.473,0.011,0.009
V150,2.074,-0.788,0.061
V151,10.086,1.355,0.333
V152,2.490,-0.841,0.008
V153,4.141,-0.600,0.004
V154,2.865,-0.491,0.004
V155,3.331,-1.265,0.006
