Clf,Score
GaussianNB,100.44857325259466
KNeighborsClassifier(3),100.44857325259466
KNeighborsClassifier(5),100.44857325259466
DecisionTreeClassifier(),100.44857325259466
MLPClassifier,100.44857325259466
minoritario,100.44857325259466
otimo,103.0458358931718
KNeighborsClassifier(8),103.40192427037883
RandomForestClassifier(3_estimators),103.64147751930052
RandomForestClassifier,103.8598509874844
rand3,107.9693682897671
rand2,108.21338702160055
KNeighborsClassifier(2),108.80271110755729
RandomForestClassifier(5_estimators),109.06245548391314
rand1,110.40571531277114
pessimo,113.81705378121777
BernoulliNB,122.47942071169221
SVM,122.47942071169221
majoritario,122.47942071169221
