Clf,Score
GaussianNB,115.81195963423826
KNeighborsClassifier(3),115.81195963423826
KNeighborsClassifier(5),115.81195963423826
DecisionTreeClassifier(),115.81195963423826
MLPClassifier,115.81195963423826
minoritario,115.81195963423826
otimo,116.96059883527448
KNeighborsClassifier(8),117.11505705109172
RandomForestClassifier(3_estimators),117.21836059636246
RandomForestClassifier,117.31206640077652
rand3,118.95713363679806
rand2,119.04598314255686
KNeighborsClassifier(2),119.2557826377061
RandomForestClassifier(5_estimators),119.34604689045688
rand1,119.79014258705408
pessimo,120.72260556795266
BernoulliNB,124.63204864625033
SVM,124.63204864625033
majoritario,124.63204864625033
