,Discriminacao,Dificuldade,Adivinhacao
V1,4.845,-1.124,0.059
V2,1.765,-4.454,0.159
V3,1.765,-4.454,0.159
V4,1.765,-4.453,0.159
V5,1.765,-4.453,0.160
V6,9.959,0.408,0.259
V7,6.511,0.260,0.314
V8,1.765,-4.453,0.160
V9,5.498,0.075,0.008
V10,1.765,-4.452,0.161
V11,2.387,-1.002,0.110
V12,1.765,-4.452,0.161
V13,1.766,-4.451,0.161
V14,4.845,-1.123,0.060
V15,1.766,-4.451,0.162
V16,4.845,-1.124,0.059
V17,1.766,-4.450,0.162
V18,1.766,-4.450,0.162
V19,0.050,114.364,0.308
V20,1.766,-4.449,0.163
V21,-2.268,0.053,0.372
V22,12.477,0.249,0.413
V23,1.766,-4.449,0.163
V24,1.766,-4.448,0.164
V25,1.766,-4.448,0.164
V26,7.021,-0.724,0.055
V27,3.986,-0.596,0.107
V28,2.643,-0.646,0.185
V29,3.546,-0.712,0.098
V30,2.242,-1.448,0.068
V31,1.522,-2.542,0.072
V32,3.137,-0.857,0.096
V33,1.766,-4.448,0.164
V34,6.433,-0.799,0.057
V35,4.923,-1.094,0.147
V36,6.420,-0.798,0.063
V37,6.228,-0.326,0.105
V38,-2.240,-1.492,0.001
V39,5.306,-1.085,0.051
V40,2.722,-1.067,0.091
V41,2.383,-1.007,0.104
V42,1.766,-4.447,0.165
V43,1.766,-4.446,0.165
V44,2.243,-1.443,0.076
V45,4.845,-1.124,0.059
V46,1.766,-4.446,0.166
V47,1.766,-4.445,0.166
V48,3.220,-0.389,0.271
V49,1.767,-4.445,0.167
V50,5.110,0.908,0.084
V51,2.244,-1.439,0.082
V52,1.767,-4.444,0.167
V53,1.767,-4.444,0.167
V54,10.163,-0.120,0.008
V55,4.844,-1.122,0.067
V56,8.936,-0.918,0.047
V57,1.767,-4.444,0.168
V58,7.324,-0.784,0.052
V59,5.751,-0.906,0.075
V60,1.767,-4.443,0.168
V61,1.767,-4.443,0.169
V62,10.612,0.110,0.288
V63,7.558,-0.662,0.065
V64,4.876,-1.121,0.056
V65,9.002,-0.764,0.051
V66,1.522,-2.543,0.072
V67,8.166,-0.614,0.053
V68,4.843,-1.123,0.063
V69,7.768,-0.720,0.053
V70,1.767,-4.442,0.169
V71,4.844,-1.122,0.065
V72,2.019,-1.332,0.095
V73,3.138,-0.855,0.099
V74,-22.192,-1.286,0.001
V75,7.553,-0.662,0.065
V76,2.719,-1.074,0.080
V77,4.304,-0.314,0.217
V78,1.767,-4.441,0.170
V79,5.307,-1.085,0.051
V80,1.767,-4.441,0.170
V81,7.568,-0.658,0.080
V82,3.137,-0.857,0.095
V83,4.845,-1.123,0.060
V84,6.273,-0.890,0.054
V85,4.845,-1.123,0.061
V86,5.307,-1.085,0.052
V87,1.767,-4.440,0.170
V88,1.048,0.737,0.069
V89,1.767,-4.440,0.171
V90,5.762,-0.909,0.057
V91,7.768,-0.720,0.053
V92,2.728,-0.790,0.122
V93,7.007,-0.725,0.055
V94,5.307,-1.085,0.052
V95,1.767,-4.440,0.171
V96,1.768,-4.439,0.172
V97,7.001,-0.719,0.075
V98,8.796,0.627,0.524
V99,1.768,-4.439,0.172
V100,5.307,-1.085,0.052
V101,1.768,-4.438,0.172
V102,2.382,-1.008,0.102
V103,6.993,-0.723,0.063
V104,4.843,-1.123,0.063
V105,4.845,-1.124,0.060
V106,-1.516,-2.642,0.001
V107,4.924,-1.092,0.154
V108,1.768,-4.437,0.173
V109,5.751,-0.905,0.079
V110,5.751,-0.906,0.075
V111,6.446,-0.799,0.057
V112,8.161,-0.606,0.075
V113,1.768,-4.437,0.174
V114,3.067,0.911,0.111
V115,1.768,-4.436,0.174
V116,1.768,-4.436,0.174
V117,6.418,-0.793,0.083
V118,1.768,-4.436,0.175
V119,3.133,-0.862,0.087
V120,5.751,-0.905,0.077
V121,1.768,-4.435,0.175
V122,-22.423,-0.601,0.336
V123,7.015,0.169,0.536
V124,1.768,-4.435,0.176
V125,8.936,-0.918,0.047
V126,5.751,-0.909,0.061
V127,2.245,-1.438,0.084
V128,5.073,-0.029,0.435
V129,6.418,-0.794,0.080
V130,2.243,-1.441,0.078
V131,1.768,-4.434,0.176
V132,10.610,0.110,0.288
V133,4.844,-1.122,0.068
V134,25.103,0.703,0.053
V135,1.768,-4.434,0.176
V136,1.768,-4.433,0.177
V137,3.208,-0.395,0.267
V138,5.815,-0.884,0.151
V139,1.079,-2.984,0.084
V140,7.776,-0.261,0.063
V141,1.089,-2.950,0.085
V142,2.720,-1.072,0.084
V143,1.522,-2.545,0.069
V144,1.954,-1.181,0.113
V145,3.136,-0.859,0.092
V146,1.769,-4.432,0.177
V147,-3.762,-2.467,0.235
V148,6.273,-0.890,0.054
V149,1.769,-4.432,0.178
V150,5.749,-0.908,0.065
V151,2.242,-1.445,0.073
V152,10.613,0.110,0.288
V153,-0.855,-2.341,0.019
V154,1.769,-4.432,0.178
V155,4.925,-1.091,0.158
V156,1.522,-2.545,0.069
V157,5.751,-0.905,0.076
V158,1.769,-4.431,0.179
V159,2.244,-1.440,0.080
V160,7.570,-0.658,0.078
V161,4.843,-1.123,0.063
V162,1.769,-4.430,0.179
V163,2.721,-1.071,0.084
V164,1.769,-4.430,0.180
V165,3.541,-0.716,0.091
V166,0.851,-1.406,0.140
V167,1.522,-2.542,0.073
V168,1.522,-2.545,0.069
V169,1.522,-2.543,0.072
V170,3.136,-0.858,0.094
V171,1.769,-4.429,0.180
V172,4.845,-1.123,0.061
V173,1.769,-4.429,0.181
V174,1.522,-2.545,0.069
V175,7.761,-0.849,0.050
V176,3.986,-0.597,0.105
V177,3.541,-0.716,0.091
V178,1.769,-4.428,0.181
V179,1.769,-4.428,0.181
V180,1.522,-2.542,0.073
V181,6.417,-0.797,0.069
V182,4.504,-0.507,0.099
V183,4.845,-1.123,0.061
V184,5.188,-0.019,0.442
V185,5.750,-0.906,0.072
V186,1.769,-4.428,0.182
V187,1.769,-4.427,0.182
V188,4.843,-1.123,0.063
V189,1.522,-2.541,0.073
V190,-2.406,-0.571,0.007
V191,2.018,-1.334,0.093
V192,2.996,-0.510,0.079
V193,5.307,-1.085,0.052
V194,1.770,-4.427,0.183
V195,1.770,-4.426,0.183
V196,2.632,-0.656,0.176
V197,5.868,-0.905,0.056
V198,3.136,-0.859,0.093
V199,3.987,-0.598,0.103
V200,3.543,-0.715,0.094
V201,-2.083,-0.631,0.119
V202,1.770,-4.426,0.183
V203,1.522,-2.541,0.074
V204,2.019,-1.330,0.098
V205,1.770,-4.425,0.184
V206,2.020,-1.329,0.099
V207,6.433,-0.799,0.057
