Clf,Score
KNeighborsClassifier(8),72.25507781563904
rand1,388.44636926178777
minoritario,388.44636926178777
pessimo,388.44636926178777
rand2,389.44213208273203
majoritario,389.44793446358443
rand3,419.415023955496
RandomForestClassifier(3_estimators),431.8676949008558
KNeighborsClassifier(3),434.89069530402645
KNeighborsClassifier(2),436.7982606009764
KNeighborsClassifier(5),438.2107878391662
DecisionTreeClassifier(),440.3461118636411
GaussianNB,443.4145277651071
BernoulliNB,447.0427103272692
RandomForestClassifier(5_estimators),451.31493858584145
RandomForestClassifier,454.6390248551106
SVM,469.89568178745867
MLPClassifier,478.2539435973497
otimo,480.7364769585018
