,Discriminacao,Dificuldade,Adivinhacao
V1,26.272,-2.370,0.000
V2,3.668,-0.984,0.000
V3,5.715,-4.959,0.336
V4,0.546,-5.756,0.000
V5,-6.043,-1.116,0.000
V6,2.000,-1.443,0.000
V7,0.258,-6.981,0.000
V8,34.395,-1.319,0.000
V9,2.261,-0.849,0.000
V10,1.737,-1.536,0.000
V11,26.523,-0.746,0.000
V12,5.612,-0.439,0.000
V13,18.123,-2.138,0.000
V14,14.337,-2.001,0.000
V15,4.508,-1.351,0.000
V16,29.683,3.116,0.000
V17,26.293,-2.370,0.000
V18,-23.099,-3.222,0.039
V19,-14.408,4.271,0.000
V20,-20.296,-2.053,0.033
V21,26.299,-2.370,0.000
V22,2.545,-1.244,0.000
V23,5.445,-0.145,0.000
V24,3.940,-1.108,0.000
V25,3.761,-1.837,0.183
V26,1.561,-2.020,0.000
V27,1.634,-2.097,0.000
V28,31.850,-0.637,0.000
V29,0.547,-5.749,0.000
V30,0.851,-5.394,0.000
V31,18.439,-3.062,0.000
V32,6.277,-0.388,0.000
V33,-5.785,-7.315,0.252
V34,8.397,-0.373,0.000
V35,-14.036,-2.000,0.000
V36,29.021,-1.408,0.000
V37,2.624,-1.311,0.000
V38,5.277,-0.320,0.000
V39,-25.706,0.652,0.036
V40,-11.374,-5.103,0.078
V41,6.076,-7.288,0.000
V42,6.725,4.243,0.420
V43,1.865,-2.603,0.000
V44,6.078,-7.288,0.000
V45,4.880,0.163,0.000
V46,26.337,-2.371,0.000
V47,-3.117,0.752,0.000
V48,-56.884,-0.633,0.010
V49,-14.407,4.271,0.000
V50,7.035,-6.280,0.000
V51,6.083,-7.288,0.000
V52,4.222,-0.423,0.000
V53,-4.909,-3.940,0.563
V54,0.209,-8.017,0.000
V55,5.763,-0.202,0.000
V56,-4.661,-0.930,0.000
V57,4.240,0.749,0.046
V58,46.263,-1.040,0.000
V59,-3.746,0.940,0.000
V60,0.366,-5.588,0.000
V61,4.058,0.134,0.000
V62,-2.669,0.944,0.000
V63,18.494,-3.061,0.000
V64,2.283,-1.218,0.000
V65,36.596,1.378,0.052
V66,6.089,-7.288,0.000
V67,1.818,-1.889,0.000
V68,-2.618,-0.694,0.000
V69,7.373,-0.327,0.000
V70,4.602,-0.872,0.000
V71,0.427,-5.760,0.000
V72,2.783,-1.136,0.000
V73,-48.499,-0.026,0.039
V74,58.954,-0.053,0.000
V75,2.491,-1.944,0.000
V76,0.591,-4.367,0.000
V77,3.081,3.468,0.051
V78,6.090,-7.288,0.000
V79,1.976,-0.558,0.000
V80,-10.654,-5.087,0.194
V81,4.286,-0.014,0.000
V82,2.508,-3.314,0.000
V83,1.075,-1.241,0.000
V84,4.850,-0.989,0.000
V85,5.065,-1.697,0.000
V86,9.331,-3.832,0.000
V87,1.066,-1.867,0.000
