Metodo,Acuracia
GaussianNB,0.8040265855155673
BernoulliNB,0.7413321687334605
KNeighborsClassifier(2),0.7975744611407516
KNeighborsClassifier(3),0.7723431638172913
KNeighborsClassifier(5),0.7870768357747278
KNeighborsClassifier(8),0.8058548033254146
DecisionTreeClassifier(),0.7486506960709589
RandomForestClassifier(3_estimators),0.7816806400106817
RandomForestClassifier(5_estimators),0.7947779378793527
RandomForestClassifier,0.8109594782295856
SVM,0.8106701827197857
MLPClassifier,0.7431850508399769
rand1,0.47904191616766467
rand2,0.49101796407185627
rand3,0.5269461077844312
majoritario,0.8063872255489022
minoritario,0.1936127744510978
pessimo,0.0
otimo,1.0
