Metodo,Acuracia
GaussianNB,0.8043912175648703
BernoulliNB,0.7644710578842315
KNeighborsClassifier(2),0.7944111776447106
KNeighborsClassifier(3),0.7704590818363274
KNeighborsClassifier(5),0.7744510978043913
KNeighborsClassifier(8),0.7844311377245509
DecisionTreeClassifier(),0.7305389221556886
RandomForestClassifier(3_estimators),0.7664670658682635
RandomForestClassifier(5_estimators),0.7864271457085829
RandomForestClassifier,0.8003992015968064
SVM,0.8063872255489022
MLPClassifier,0.8043912175648703
rand1,0.47904191616766467
rand2,0.49101796407185627
rand3,0.5269461077844312
majoritario,0.8063872255489022
minoritario,0.1936127744510978
pessimo,0.0
otimo,1.0
