Clf,Score
GaussianNB,382.6050585751361
MLPClassifier,382.6050585751361
BernoulliNB,389.94621628928724
KNeighborsClassifier(5),397.2459241642157
KNeighborsClassifier(8),397.2459241642157
RandomForestClassifier,397.3991109006689
RandomForestClassifier(5_estimators),398.6165372533155
KNeighborsClassifier(3),398.63339775189974
KNeighborsClassifier(2),398.7037555736535
RandomForestClassifier(3_estimators),398.7686896185319
DecisionTreeClassifier(),402.1680266328799
SVM,403.1790845673318
majoritario,403.1790845673318
otimo,403.7846549228734
pessimo,404.0202312142286
minoritario,404.24695019429356
rand2,404.24695390911324
rand3,404.25940217528023
rand1,404.4494118191073
