Clf,Theta
GaussianNB,0.44928687556067815
BernoulliNB,8.35770951158388
KNeighborsClassifier(2),1.3829263453737126
KNeighborsClassifier(3),1.3792537084638057
KNeighborsClassifier(5),1.292800572147277
KNeighborsClassifier(8),1.292800572147277
DecisionTreeClassifier(),1.947426376575097
RandomForestClassifier(3_estimators),1.3864106551373203
RandomForestClassifier(5_estimators),1.3783863409032728
RandomForestClassifier,1.3067304743531807
SVM,2.146154041063693
MLPClassifier,0.44928687556067815
rand1,2.382283784464482
rand2,2.3517095083935473
rand3,3.1490825795968096
majoritario,2.146154041063693
minoritario,2.351709056786617
pessimo,2.3256630292932186
otimo,3.4678822580903246
