,Discriminacao,Dificuldade,Adivinhacao
V1,1.116,-2.256,0.103
V2,4.852,-0.938,0.052
V3,3.184,-0.665,0.066
V4,3.140,-0.842,0.064
V5,4.467,-1.545,0.051
V6,1.293,-1.938,0.101
V7,1.116,-2.256,0.103
V8,-6.231,-1.000,0.046
V9,2.156,-0.688,0.072
V10,1.218,-2.019,0.102
V11,1.115,-2.256,0.104
V12,-1.203,0.539,0.087
V13,2.054,-0.553,0.082
V14,1.997,1.302,0.119
V15,1.242,-2.024,0.071
V16,1.086,1.988,0.116
V17,1.038,-3.680,0.064
V18,3.570,-0.952,0.069
V19,1.432,-3.100,0.056
V20,1.461,-1.688,0.101
V21,-0.877,1.366,0.067
V22,1.218,-2.019,0.103
V23,1.217,-2.018,0.103
V24,-0.800,2.032,0.065
V25,1.171,-2.185,0.104
V26,-1.567,0.044,0.075
V27,1.609,1.268,0.112
V28,1.940,-1.208,0.099
V29,1.293,-1.937,0.104
V30,0.698,-3.050,0.073
V31,1.114,-2.257,0.106
V32,2.380,-1.101,0.064
V33,1.461,-1.686,0.103
V34,-1.292,0.831,0.075
V35,1.292,-1.936,0.104
V36,1.113,-2.257,0.106
V37,1.292,-1.936,0.105
V38,5.279,-1.701,0.050
V39,1.216,-2.017,0.105
V40,3.839,-1.016,0.054
V41,2.052,-0.755,0.083
V42,1.216,-2.017,0.106
V43,0.909,-3.031,0.070
V44,1.113,-2.257,0.107
V45,1.112,-2.257,0.107
V46,2.258,1.218,0.113
V47,1.112,-2.257,0.108
V48,1.112,-2.258,0.108
V49,-0.605,2.268,0.070
V50,2.651,0.219,0.083
V51,1.976,-0.628,0.072
V52,1.216,-2.017,0.107
V53,-0.885,1.606,0.068
V54,2.248,0.803,0.113
V55,1.112,-2.258,0.108
V56,1.111,-2.258,0.109
V57,1.137,-2.334,0.109
V58,2.362,-0.113,0.084
V59,1.365,1.601,0.114
V60,1.291,-1.934,0.107
V61,1.293,-1.831,0.107
V62,1.287,1.874,0.124
V63,1.111,-2.258,0.110
V64,1.432,-3.100,0.056
V65,1.215,-2.016,0.108
V66,-3.583,-1.693,0.068
V67,1.278,2.129,0.120
V68,-0.517,1.588,0.065
V69,1.215,2.178,0.120
V70,1.215,-2.016,0.109
V71,-1.572,-1.827,0.071
V72,1.110,-2.259,0.110
V73,-2.390,-0.759,0.076
V74,3.165,-1.599,0.054
V75,1.110,-2.259,0.111
V76,2.282,-0.312,0.086
V77,1.577,-2.478,0.066
V78,1.214,-2.016,0.109
V79,1.109,-2.259,0.111
V80,1.109,-2.259,0.111
V81,1.833,1.246,0.117
V82,-1.107,1.519,0.064
V83,1.290,-1.933,0.110
V84,1.432,-3.100,0.057
V85,-1.427,-2.225,0.071
V86,-1.078,1.139,0.059
V87,5.527,-1.574,0.050
V88,-1.005,-1.675,0.087
V89,2.009,-1.131,0.075
V90,1.290,-1.933,0.110
V91,1.460,-1.680,0.108
V92,1.305,2.172,0.120
V93,2.743,-0.156,0.083
V94,1.108,-2.260,0.112
V95,5.901,-1.476,0.050
V96,1.460,-1.679,0.109
V97,1.432,-3.099,0.057
V98,4.467,-1.545,0.051
V99,1.790,0.996,0.115
V100,1.432,-3.099,0.057
V101,-1.573,-0.969,0.104
V102,1.806,-0.760,0.082
V103,1.108,-2.260,0.113
V104,-1.946,-0.412,0.080
V105,1.547,1.721,0.119
V106,1.292,-1.828,0.111
V107,-0.717,2.543,0.064
V108,2.132,-1.180,0.066
V109,1.471,0.784,0.124
V110,1.460,-1.679,0.110
V111,1.107,-2.261,0.113
V112,1.460,-1.678,0.110
V113,2.997,0.244,0.082
V114,3.817,-1.933,0.051
V115,1.743,1.616,0.118
V116,2.636,0.537,0.088
V117,3.708,-1.021,0.063
V118,2.041,1.298,0.117
V119,-0.387,4.210,0.067
V120,1.107,-2.261,0.114
V121,1.432,-3.099,0.057
V122,1.178,-3.178,0.063
V123,1.496,1.828,0.120
V124,1.213,-2.014,0.113
V125,4.194,-0.798,0.059
V126,1.879,1.083,0.120
V127,-1.521,0.543,0.064
V128,-1.108,-0.010,0.083
V129,2.633,-0.435,0.081
V130,2.175,-1.241,0.066
V131,-5.468,-1.138,0.049
V132,1.106,-2.261,0.115
V133,1.106,-2.262,0.115
V134,5.154,-1.235,0.051
V135,1.038,-3.680,0.064
V136,1.292,-1.826,0.113
V137,2.360,-0.825,0.068
V138,1.212,-2.014,0.114
V139,1.105,-2.262,0.116
V140,5.591,-1.251,0.050
V141,2.059,1.343,0.115
V142,1.292,-1.825,0.113
V143,1.105,-2.263,0.116
V144,1.269,2.151,0.124
V145,1.447,2.026,0.117
V146,1.224,-2.106,0.115
V147,0.462,-6.852,0.068
V148,1.104,-2.263,0.116
V149,1.883,1.576,0.114
V150,-1.713,-1.320,0.092
V151,1.432,-3.099,0.057
V152,2.420,-1.304,0.066
V153,1.104,-2.263,0.117
V154,1.104,-2.263,0.117
V155,1.974,1.091,0.123
V156,2.025,1.195,0.113
V157,-1.378,0.945,0.066
