Metodo,Acuracia
GaussianNB,0.8235170807453416
BernoulliNB,0.6662888198757764
KNeighborsClassifier(2),0.8390217391304347
KNeighborsClassifier(3),0.8172787267080744
KNeighborsClassifier(5),0.8203804347826086
KNeighborsClassifier(8),0.8321855590062113
DecisionTreeClassifier(),0.8098330745341615
RandomForestClassifier(3_estimators),0.8359200310559007
RandomForestClassifier(5_estimators),0.8284782608695652
RandomForestClassifier,0.8489868012422359
SVM,0.8464829192546585
MLPClassifier,0.7998990683229813
rand1,0.5
rand2,0.476
rand3,0.52
majoritario,0.846
minoritario,0.154
pessimo,0.0
otimo,1.0
