Clf,Theta
GaussianNB,-4.927420077186469
BernoulliNB,-4.927420077186469
KNeighborsClassifier(2),3.4229063198874856
KNeighborsClassifier(3),1.9055902038458157
KNeighborsClassifier(5),2.157635668958013
KNeighborsClassifier(8),3.243293537419952
DecisionTreeClassifier(),2.6470166991102118
RandomForestClassifier(3_estimators),2.455909291819733
RandomForestClassifier(5_estimators),2.1951957180882213
RandomForestClassifier,2.9986255132830615
SVM,52.91942007718647
MLPClassifier,52.91942007718647
rand1,1.8187865852609677
rand2,1.7765757634602886
rand3,1.8769508638088
majoritario,52.91942007718647
minoritario,-4.927420077186469
pessimo,0.4855637874318918
otimo,3.592218316714903
