Metodo,Acuracia
GaussianNB,0.8280254777070064
BernoulliNB,0.7388535031847133
KNeighborsClassifier(2),0.7898089171974523
KNeighborsClassifier(3),0.7961783439490446
KNeighborsClassifier(5),0.8152866242038217
KNeighborsClassifier(8),0.8280254777070064
DecisionTreeClassifier(),0.7770700636942676
RandomForestClassifier(3_estimators),0.7643312101910829
RandomForestClassifier(5_estimators),0.821656050955414
RandomForestClassifier,0.8280254777070064
SVM,0.7898089171974523
MLPClassifier,0.8280254777070064
rand1,0.5159235668789809
rand2,0.6050955414012739
rand3,0.5222929936305732
majoritario,0.7961783439490446
minoritario,0.20382165605095542
pessimo,0.0
otimo,1.0
