Clf,Score
BernoulliNB,115.31023130612999
minoritario,115.31023130612999
rand1,115.96243859657854
rand2,116.38102225846104
RandomForestClassifier(3_estimators),116.38121050231557
pessimo,116.45250728066297
RandomForestClassifier(5_estimators),116.46894888305945
otimo,117.54726837166508
MLPClassifier,118.49309615475302
rand3,118.6028067532557
DecisionTreeClassifier(),118.83008344667645
GaussianNB,119.13426601002745
KNeighborsClassifier(3),121.28839969107571
RandomForestClassifier,121.42706401004463
KNeighborsClassifier(5),121.47644925362131
KNeighborsClassifier(2),121.52685677836206
KNeighborsClassifier(8),121.54285253879907
SVM,122.6495204896824
majoritario,122.6495204896824
