Clf,Score
GaussianNB,127.92242686930896
DecisionTreeClassifier(),128.36727539748787
KNeighborsClassifier(8),128.62916705444928
KNeighborsClassifier(2),128.63856149616998
rand3,128.66629575975549
KNeighborsClassifier(5),128.71129810198232
MLPClassifier,128.8015224381067
RandomForestClassifier,128.80263956427996
SVM,128.8031159699637
majoritario,128.8031159699637
KNeighborsClassifier(3),128.90694367419368
rand2,129.23932806383544
RandomForestClassifier(3_estimators),129.23934795161037
pessimo,129.25489292818287
RandomForestClassifier(5_estimators),129.26035856023063
rand1,129.49927945794363
otimo,129.7770743698132
BernoulliNB,130.06860634128057
minoritario,130.06860634128057
