,Discriminacao,Dificuldade,Adivinhacao
V1,5.538,-1.882,0.089
V2,0.536,-14.804,0.188
V3,0.536,-14.813,0.189
V4,7.923,-1.612,0.010
V5,0.535,-14.833,0.189
V6,1.097,-3.127,0.091
V7,4.868,-1.965,0.096
V8,10.573,-0.545,0.329
V9,6.596,-1.730,0.030
V10,0.534,-14.853,0.190
V11,0.534,-14.863,0.190
V12,4.891,-1.965,0.095
V13,5.814,-1.811,0.057
V14,6.437,-0.482,0.577
V15,0.533,-14.883,0.190
V16,0.533,-14.894,0.190
V17,0.532,-14.904,0.191
V18,5.786,-1.970,0.095
V19,0.479,-5.319,0.113
V20,4.084,-2.187,0.087
V21,2.324,-1.682,0.082
V22,7.924,-1.612,0.010
V23,2.820,-1.564,0.133
V24,4.010,-1.675,0.137
V25,2.898,-1.984,0.073
V26,5.905,-2.084,0.078
V27,6.922,-1.841,0.048
V28,5.235,-1.876,0.081
V29,3.544,-2.384,0.083
V30,14.229,0.496,0.403
V31,2.777,-1.373,0.098
V32,0.531,-14.936,0.191
V33,4.745,-1.954,0.107
V34,3.438,-1.762,0.183
V35,6.598,-1.730,0.030
V36,3.864,-2.358,0.071
V37,1.302,-3.973,0.095
V38,6.400,-1.975,0.081
V39,1.806,-2.853,0.106
V40,0.530,-14.969,0.192
V41,0.530,-14.980,0.192
V42,3.726,-2.367,0.079
V43,6.402,-1.975,0.081
V44,4.686,-2.070,0.090
V45,5.694,-1.447,0.193
V46,4.181,-2.334,0.067
V47,3.660,-2.372,0.084
V48,0.529,-14.992,0.192
V49,0.529,-15.003,0.192
V50,5.033,-2.453,0.051
V51,4.771,0.223,0.309
V52,2.554,-2.149,0.110
V53,5.033,-2.453,0.052
V54,3.348,-1.820,0.125
V55,6.745,-1.450,0.095
V56,-0.634,0.198,0.354
V57,3.556,-2.378,0.094
V58,4.009,-2.185,0.098
V59,0.529,-15.014,0.193
V60,5.320,-0.979,0.402
V61,2.298,-0.090,0.485
V62,2.787,-0.937,0.115
V63,5.403,-1.972,0.094
V64,6.922,-1.841,0.049
V65,5.428,-2.147,0.077
V66,3.587,-1.321,0.406
V67,5.787,-1.970,0.095
V68,4.123,-2.187,0.083
V69,0.528,-15.026,0.193
V70,1.133,-2.859,0.093
V71,5.033,-2.453,0.052
V72,4.181,-2.334,0.067
V73,5.256,-1.490,0.171
V74,2.904,-1.968,0.130
V75,3.843,-2.175,0.159
V76,5.863,-1.890,0.090
V77,4.310,-2.182,0.068
V78,3.556,-2.378,0.094
V79,2.898,-1.984,0.073
V80,3.362,-2.366,0.167
V81,5.301,-2.077,0.090
V82,5.162,-1.972,0.093
V83,2.949,-2.734,0.092
V84,0.527,-15.073,0.194
V85,5.034,-2.453,0.052
V86,-2.448,-1.515,0.056
V87,12.486,0.219,0.419
V88,4.405,-2.319,0.067
V89,5.236,-1.877,0.082
V90,1.829,-2.850,0.091
V91,2.185,-2.419,0.109
V92,5.034,-2.453,0.052
V93,4.315,-2.039,0.130
V94,1.302,-3.973,0.095
V95,0.525,-15.110,0.194
V96,0.525,-15.122,0.195
V97,3.660,-2.372,0.084
V98,4.683,-1.471,0.267
V99,4.301,-2.039,0.145
V100,2.912,-1.962,0.135
V101,-1.939,-1.684,0.055
V102,-0.361,2.408,0.163
V103,0.524,-15.147,0.195
V104,-0.059,-41.156,0.140
V105,0.524,-15.160,0.195
V106,1.829,-2.850,0.091
V107,0.523,-15.172,0.195
V108,0.523,-15.185,0.196
V109,7.602,-0.636,0.235
V110,5.034,-2.453,0.052
V111,3.363,-2.365,0.170
V112,5.034,-2.453,0.053
V113,1.054,-3.921,0.104
V114,6.601,-1.730,0.030
V115,5.404,-1.972,0.094
V116,5.227,-1.881,0.084
V117,0.521,-15.238,0.196
V118,13.816,0.845,0.190
V119,0.521,-15.251,0.197
V120,2.587,-2.128,0.124
V121,4.812,-0.756,0.398
V122,10.053,1.254,0.172
V123,0.520,-15.264,0.197
V124,2.960,-2.730,0.096
V125,2.991,-1.937,0.144
V126,2.544,-2.154,0.110
V127,-4.589,-1.683,0.385
V128,3.546,-2.622,0.068
V129,0.520,-15.278,0.197
V130,0.519,-15.291,0.197
V131,4.835,-1.544,0.126
V132,3.660,-2.372,0.085
V133,1.727,-1.598,0.157
V134,0.519,-15.305,0.197
V135,5.572,1.288,0.580
V136,2.313,-1.956,0.186
V137,1.829,-2.850,0.091
V138,10.513,-0.217,0.215
V139,5.034,-2.452,0.053
V140,5.822,-1.811,0.058
V141,4.776,-1.463,0.281
V142,10.014,0.052,0.435
V143,4.906,-2.166,0.060
V144,5.428,-2.147,0.078
V145,2.981,-2.729,0.085
V146,0.518,-15.332,0.198
V147,1.302,-3.973,0.095
V148,1.977,-2.244,0.140
V149,5.477,-1.459,0.184
V150,1.805,-2.265,0.090
V151,2.979,-1.935,0.143
V152,5.034,-2.452,0.053
V153,5.519,-1.881,0.090
V154,0.518,-15.346,0.198
V155,5.034,-2.452,0.053
V156,5.429,-2.147,0.078
V157,6.652,-1.910,0.081
V158,2.555,-2.145,0.119
V159,3.864,-2.358,0.072
V160,3.361,-2.361,0.179
V161,4.083,-2.182,0.102
V162,0.517,-15.374,0.199
V163,3.540,-2.379,0.095
V164,5.034,-2.452,0.053
V165,5.410,-0.123,0.603
V166,6.625,0.656,0.128
V167,0.516,-15.389,0.199
V168,0.516,-15.403,0.199
V169,2.472,-0.903,0.104
V170,19.034,0.879,0.259
V171,5.296,-2.275,0.054
V172,0.999,-3.007,0.129
V173,1.193,-2.671,0.123
V174,-1.891,-1.054,0.416
V175,0.515,-15.417,0.199
V176,7.827,-0.104,0.301
V177,3.365,-2.363,0.175
V178,7.485,-1.747,0.036
V179,4.926,-1.955,0.069
V180,1.045,-2.628,0.111
V181,3.660,-2.371,0.085
V182,7.489,-0.636,0.234
V183,0.468,-9.744,0.100
V184,5.830,-1.809,0.060
V185,0.514,-15.461,0.200
V186,0.513,-15.475,0.200
V187,5.377,-1.155,0.010
V188,11.036,1.162,0.239
V189,2.960,-2.730,0.096
V190,5.696,-1.447,0.193
V191,-2.506,-1.406,0.065
V192,5.324,-0.674,0.496
V193,0.513,-15.490,0.200
V194,4.123,-2.186,0.083
V195,4.418,-2.063,0.094
V196,6.031,-1.803,0.069
V197,5.034,-2.452,0.054
V198,-1.749,-1.863,0.079
V199,5.034,-2.452,0.054
V200,0.513,-15.505,0.200
V201,5.787,-1.970,0.095
V202,4.932,-1.955,0.071
V203,5.863,-1.890,0.090
V204,0.512,-15.520,0.201
V205,3.726,-2.367,0.079
V206,0.512,-15.535,0.201
V207,1.787,-2.110,0.106
V208,5.643,-1.884,0.091
V209,3.803,-1.705,0.111
V210,1.419,-1.889,0.062
V211,4.299,-1.562,0.210
V212,4.040,-1.680,0.134
V213,0.511,-15.550,0.201
V214,4.910,-2.073,0.090
V215,2.949,-2.734,0.092
V216,3.726,-2.367,0.079
V217,2.913,-1.961,0.136
V218,4.693,-1.473,0.271
V219,5.230,-1.883,0.087
V220,0.510,-15.581,0.202
V221,5.236,-1.880,0.085
V222,5.035,-1.502,0.154
V223,5.776,-1.905,0.059
V224,4.884,-2.074,0.089
V225,3.864,-2.358,0.072
V226,11.091,-0.549,0.330
V227,4.926,-2.073,0.089
V228,13.907,-0.359,0.304
V229,6.605,-1.731,0.030
V230,0.509,-15.627,0.202
V231,3.844,-2.172,0.170
V232,4.181,-2.334,0.068
V233,6.403,-1.974,0.081
V234,3.379,-2.357,0.181
V235,0.507,-15.674,0.203
V236,3.864,-2.358,0.072
V237,4.300,-2.040,0.153
V238,2.981,-2.729,0.085
V239,5.034,-2.452,0.054
V240,0.506,-15.705,0.203
V241,5.034,-2.452,0.054
V242,3.864,-2.358,0.072
V243,1.302,-3.972,0.095
V244,0.506,-15.721,0.204
V245,3.617,-1.545,0.031
V246,2.403,-0.022,0.272
V247,5.584,-0.834,0.145
V248,9.858,0.032,0.002
V249,3.864,-2.358,0.072
V250,2.185,-2.421,0.104
V251,3.864,-2.358,0.073
V252,4.012,-1.674,0.138
V253,3.367,-2.360,0.180
V254,4.112,-2.180,0.105
V255,-1.625,-0.703,0.149
V256,1.806,-2.853,0.106
V257,4.506,-1.522,0.234
V258,1.812,-2.853,0.100
V259,2.981,-2.729,0.085
V260,4.906,-2.166,0.060
V261,2.757,-2.737,0.189
V262,5.034,-2.452,0.054
V263,3.865,-2.358,0.073
V264,5.034,-2.452,0.055
V265,15.401,0.201,0.339
V266,3.367,-2.360,0.181
V267,0.503,-15.802,0.205
V268,-1.643,-1.404,0.008
V269,1.067,-2.632,0.072
V270,0.757,-3.149,0.104
V271,6.031,-1.803,0.069
V272,3.979,-0.415,0.339
V273,5.582,-1.901,0.060
V274,4.084,-2.187,0.087
V275,4.181,-2.334,0.068
V276,2.877,-1.752,0.094
V277,2.254,-1.358,0.083
V278,0.503,-15.818,0.205
V279,2.973,-1.937,0.115
V280,4.181,-2.334,0.068
V281,2.905,-1.968,0.131
V282,4.488,-2.067,0.092
V283,5.698,-1.447,0.193
V284,-1.732,-1.413,0.003
V285,3.368,-2.359,0.182
V286,2.907,-1.967,0.133
V287,1.593,-2.336,0.118
V288,1.429,-2.360,0.070
V289,2.194,-2.424,0.092
V290,2.546,-2.153,0.112
V291,2.162,-2.091,0.107
V292,2.314,-1.955,0.186
V293,5.964,1.654,0.084
V294,5.788,-1.970,0.096
V295,4.085,-2.188,0.085
V296,0.502,-15.851,0.205
V297,5.454,0.134,0.221
V298,2.981,-2.728,0.086
V299,5.429,-2.147,0.078
V300,10.795,1.210,0.286
V301,2.330,-0.301,0.196
V302,10.249,0.133,0.385
V303,5.075,-1.495,0.161
V304,0.501,-15.868,0.206
V305,3.200,-1.647,0.071
V306,4.516,-1.052,0.012
V307,5.827,-1.971,0.095
V308,5.863,-1.890,0.090
V309,2.981,-2.728,0.086
V310,4.884,-2.073,0.089
V311,6.031,-1.804,0.069
V312,4.181,-2.334,0.068
V313,1.806,-2.853,0.106
V314,3.316,3.019,0.003
V315,6.770,-0.073,0.604
V316,5.539,-1.882,0.089
V317,6.405,-1.974,0.082
V318,5.831,-1.810,0.059
V319,9.219,-0.112,0.173
V320,3.365,-2.356,0.188
V321,6.193,-1.810,0.070
V322,0.500,-15.918,0.206
V323,3.318,-1.839,0.109
V324,-0.040,23.691,0.132
V325,4.758,-1.556,0.119
V326,3.846,-2.169,0.176
V327,4.310,-2.182,0.069
V328,0.499,-15.951,0.207
V329,10.242,1.193,0.323
V330,1.613,-1.533,0.302
V331,2.540,-2.159,0.108
V332,2.914,-1.961,0.136
V333,4.746,-1.467,0.278
V334,8.817,0.052,0.304
V335,3.685,-0.935,0.468
V336,5.266,-1.474,0.176
V337,5.480,-1.458,0.185
V338,14.340,0.252,0.453
V339,7.335,-1.437,0.009
V340,1.610,-2.290,0.116
V341,5.034,-2.452,0.055
V342,4.418,-2.066,0.093
V343,4.316,-2.325,0.067
V344,0.498,-15.985,0.207
V345,4.641,-1.498,0.252
V346,1.626,-2.466,0.114
V347,1.302,-3.972,0.096
V348,0.497,-16.002,0.208
V349,2.839,-1.766,0.066
V350,5.439,-1.973,0.094
V351,-0.740,-0.009,0.022
V352,5.666,-1.885,0.089
V353,4.181,-2.334,0.068
V354,1.058,-3.909,0.103
