Metodo,Acuracia
GaussianNB,0.6256257744733581
BernoulliNB,0.865311854605535
KNeighborsClassifier(2),0.9020487401900041
KNeighborsClassifier(3),0.9532438386341731
KNeighborsClassifier(5),0.9588145394465096
KNeighborsClassifier(8),0.9402643535729037
DecisionTreeClassifier(),0.9933140575519758
RandomForestClassifier(3_estimators),0.9684565606498692
RandomForestClassifier(5_estimators),0.9799586947542339
RandomForestClassifier,0.9873853779429987
SVM,0.9424907063197026
MLPClassifier,0.9866405066776813
rand1,0.4590818363273453
rand2,0.5548902195608783
rand3,0.46506986027944114
majoritario,0.5229540918163673
minoritario,0.47704590818363274
pessimo,0.0
otimo,1.0
