Metodo,Acuracia
GaussianNB,0.6147704590818364
BernoulliNB,0.8702594810379242
KNeighborsClassifier(2),0.8982035928143712
KNeighborsClassifier(3),0.9580838323353293
KNeighborsClassifier(5),0.9481037924151696
KNeighborsClassifier(8),0.9540918163672655
DecisionTreeClassifier(),0.9920159680638723
RandomForestClassifier(3_estimators),0.9780439121756487
RandomForestClassifier(5_estimators),0.9840319361277445
RandomForestClassifier,0.9900199600798403
SVM,0.9421157684630739
MLPClassifier,0.9880239520958084
rand1,0.4590818363273453
rand2,0.5548902195608783
rand3,0.46506986027944114
majoritario,0.5229540918163673
minoritario,0.47704590818363274
pessimo,0.0
otimo,1.0
