Clf,Score
GaussianNB,414.1478912404613
BernoulliNB,414.1478912404613
majoritario,414.1478912404613
pessimo,436.68320331438093
rand1,446.6582842747037
rand3,450.0244515102597
rand2,455.73442767588307
minoritario,456.37930352850253
KNeighborsClassifier(2),461.1490558163984
KNeighborsClassifier(8),461.65387442808077
KNeighborsClassifier(5),461.6580361071792
KNeighborsClassifier(3),463.6909691911285
SVM,468.9071951380996
RandomForestClassifier(3_estimators),477.73239850447277
RandomForestClassifier,479.69029342581604
DecisionTreeClassifier(),482.5403863837139
RandomForestClassifier(5_estimators),483.4720733304087
otimo,483.6331834101578
MLPClassifier,483.8060160166889
