Clf,Theta
GaussianNB,-1.3492845681143104
BernoulliNB,-1.3492845681143104
KNeighborsClassifier(2),0.05430365716495014
KNeighborsClassifier(3),0.1621646113504567
KNeighborsClassifier(5),0.07576798715407584
KNeighborsClassifier(8),0.07559247965787834
DecisionTreeClassifier(),2.5774703428507157
RandomForestClassifier(3_estimators),1.270562707976277
RandomForestClassifier(5_estimators),3.2474118063312396
RandomForestClassifier,1.492251146901354
SVM,0.4711662902291388
MLPClassifier,3.673335685968901
rand1,-0.5623777199767851
rand2,-0.1819499451554992
rand3,-0.42765124309990277
majoritario,-1.3492845681143104
minoritario,-0.15283895901225222
pessimo,-0.9167445190147848
otimo,3.4097015369953185
